Case 1: Case 1
distance,BAD
5,0.002898
7,0.003793
9,0.004521
11,0.005094
13,0.00552
15,0.005761
17,0.006033

Case 2: Case 2
distance,line,BAD
5,0.0,0.002781,0.002898,4.12%
5,0.01,0.002808,0.002898,3.15%
5,0.3,0.002835,0.002898,2.20%
5,0.6,0.002882,0.002898,0.55%
5,0.9,0.002833,0.002898,2.27%
7,0.0,0.003821,0.003793,0.74%
7,0.01,0.003769,0.003793,0.63%
7,0.3,0.003983,0.003793,4.89%
7,0.6,0.004064,0.003793,6.90%
7,0.9,0.003943,0.003793,3.88%
9,0.0,0.004516,0.004521,0.11%
9,0.01,0.004508,0.004521,0.29%
9,0.3,0.004659,0.004521,3.01%
9,0.6,0.004652,0.004521,2.86%
9,0.9,0.004841,0.004521,6.84%
11,0.0,0.005113,0.005094,0.37%
11,0.01,0.00509,0.005094,0.08%
11,0.3,0.005226,0.005094,2.56%
11,0.6,0.00537,0.005094,5.28%
11,0.9,0.005261,0.005094,3.23%
13,0.0,0.005541,0.00552,0.38%
13,0.01,0.005538,0.00552,0.33%
13,0.3,0.005531,0.00552,0.20%
13,0.6,0.005844,0.00552,5.70%
13,0.9,0.005693,0.00552,3.09%
15,0.0,0.005785,0.005761,0.42%
15,0.01,0.005771,0.005761,0.17%
15,0.3,0.005878,0.005761,2.01%
15,0.6,0.006062,0.005761,5.09%
15,0.9,0.006333,0.005761,9.46%
17,0.0,0.006062,0.006033,0.48%
17,0.01,0.006066,0.006033,0.55%
17,0.3,0.006144,0.006033,1.82%
17,0.6,0.006394,0.006033,5.81%
17,0.9,0.006391,0.006033,5.76%

Case 2 vs. Case 4: Case 2 vs. Case 4(Homogeneous w/ Defect vs Heterogeneous w/ Defect Impact on BAD)
distance,line,BAD (Case 4),BAD (Case 2),Percent Difference
5,0.0,0.002776,0.002831,1.96%
5,0.05,0.002525,0.002353,7.05%
5,0.25,0.001886,0.001902,0.84%
5,0.5,0.001975,0.001764,11.29%
5,0.75,0.001685,0.001677,0.48%
7,0.0,0.004016,0.003786,5.90%
