p_sigma,p_mu,p_sig_scalar,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,mu_out,sigma_out,ler_round,noise_model
0.0053152007424604915,0.00885866790410082,0.6,0.05,"(2, 2)",center data,3,3,50000,13609,0.27218,0.0091444375,0.0046673923302893395,0.09072666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.05,"(2, 2)",center data,3,3,50000,15130,0.3026,0.012705768749999999,0.004011751348338832,0.1008666667,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.05,"(2, 2)",center data,3,3,50000,16969,0.33938,0.014651168749999999,0.006921554750534626,0.1131266667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.05,"(2, 2)",center data,3,3,50000,19103,0.38206,0.0170098125,0.008637368881123103,0.1273533333,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.05,"(2, 2)",center data,3,3,50000,22541,0.45082,0.0264568125,0.011134771361700416,0.1502733333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.05,"(2, 2)",center data,3,3,50000,24094,0.48188,0.030354043750000004,0.0133990657908009,0.1606266667,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.05,"(2, 2)",center data,3,3,50000,24342,0.48684,0.04206269,0.025125421046014333,0.16228,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.05,"(2, 2)",center data,3,3,50000,24778,0.49556,0.05373769125,0.032289932249501524,0.1651866667,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.05,"(2, 2)",center data,3,3,50000,24702,0.49404,0.049980712499999996,0.021510547317300968,0.16468,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.05,"(2, 2)",center data,3,3,50000,24994,0.49988,0.07541049999999999,0.04425335791060098,0.1666266667,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.05,"(2, 2)",center data,3,3,50000,25023,0.50046,0.089874853125,0.04398350924467128,0.16682,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.25,"(2, 2)",center data,3,3,50000,963,0.01926,0.00106201929375,0.00057836587917488,0.00642,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.25,"(2, 2)",center data,3,3,50000,1790,0.0358,0.0012242625,0.0007960636796960718,0.01193333333,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.25,"(2, 2)",center data,3,3,50000,3300,0.066,0.001883376875,0.0009090791958949366,0.022,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.25,"(2, 2)",center data,3,3,50000,6028,0.12056,0.00275061,0.001265019856326374,0.04018666667,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.25,"(2, 2)",center data,3,3,50000,5609,0.11218,0.003294625,0.0015284701017275412,0.03739333333,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.25,"(2, 2)",center data,3,3,50000,3642,0.07284,0.0035621299999999997,0.0020069238277772277,0.02428,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.25,"(2, 2)",center data,3,3,50000,5169,0.10338,0.003218503125,0.0019372369508907485,0.03446,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.25,"(2, 2)",center data,3,3,50000,7550,0.151,0.00542660625,0.002517542794936352,0.05033333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.25,"(2, 2)",center data,3,3,50000,14899,0.29798,0.009355925000000001,0.00407877676079177,0.09932666667,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.25,"(2, 2)",center data,3,3,50000,12277,0.24554,0.01031545625,0.004380790413551068,0.08184666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.25,"(2, 2)",center data,3,3,50000,18834,0.37668,0.01259131875,0.0055668637449890436,0.12556,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.25,"(2, 2)",center data,3,3,50000,16711,0.33422,0.0118469575,0.006231432296899626,0.1114066667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.25,"(2, 2)",center data,3,3,50000,21758,0.43516,0.018248675,0.009229390409684434,0.1450533333,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.25,"(2, 2)",center data,3,3,50000,21542,0.43084,0.02239974375,0.010566040677801735,0.1436133333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.25,"(2, 2)",center data,3,3,50000,23193,0.46386,0.027666781249999998,0.018813703875440728,0.15462,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.25,"(2, 2)",center data,3,3,50000,24036,0.48072,0.0373366375,0.019216017768936774,0.16024,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.25,"(2, 2)",center data,3,3,50000,24934,0.49868,0.04983178125,0.022978818282393756,0.1662266667,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.25,"(2, 2)",center data,3,3,50000,24733,0.49466,0.062190875,0.03554461635373738,0.1648866667,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.25,"(2, 2)",center data,3,3,50000,24867,0.49734,0.0814405625,0.04268817130360697,0.16578,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.25,"(2, 2)",center data,3,3,50000,25228,0.50456,0.0998663375,0.049874538062608595,0.1681866667,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.5,"(2, 2)",center data,3,3,50000,2041,0.04082,0.001054603125,0.0005672577673963437,0.01360666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.5,"(2, 2)",center data,3,3,50000,2114,0.04228,0.00135177125,0.00044925430753186716,0.01409333333,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.5,"(2, 2)",center data,3,3,50000,3247,0.06494,0.0023457,0.0008025670517159298,0.02164666667,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.5,"(2, 2)",center data,3,3,50000,3947,0.07894,0.002416768125,0.0009855325153135407,0.02631333333,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.5,"(2, 2)",center data,3,3,50000,3282,0.06564,0.0025382218749999998,0.0009960090971234822,0.02188,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.5,"(2, 2)",center data,3,3,50000,5857,0.11714,0.00386769625,0.002219284076106738,0.03904666667,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.5,"(2, 2)",center data,3,3,50000,8606,0.17212,0.00459101,0.002511183322409975,0.05737333333,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.5,"(2, 2)",center data,3,3,50000,6421,0.12842,0.004854501875,0.002819571122006454,0.04280666667,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.5,"(2, 2)",center data,3,3,50000,10627,0.21254,0.0059064875,0.0026612542113341503,0.07084666667,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.5,"(2, 2)",center data,3,3,50000,12739,0.25478,0.00917368125,0.0040978302461819275,0.08492666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.5,"(2, 2)",center data,3,3,50000,17268,0.34536,0.014077862500000001,0.006430614682893366,0.11512,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.5,"(2, 2)",center data,3,3,50000,19661,0.39322,0.0166987875,0.0066880293915580055,0.1310733333,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.5,"(2, 2)",center data,3,3,50000,21794,0.43588,0.021672425000000002,0.0061967305560573635,0.1452933333,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.5,"(2, 2)",center data,3,3,50000,21871,0.43742,0.02404646375,0.012295501902066094,0.1458066667,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.5,"(2, 2)",center data,3,3,50000,23073,0.46146,0.029165749999999997,0.014046823259637747,0.15382,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.5,"(2, 2)",center data,3,3,50000,24992,0.49984,0.04699756249999999,0.01770034431857453,0.1666133333,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.5,"(2, 2)",center data,3,3,50000,24909,0.49818,0.06093874375,0.02387916366672964,0.16606,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.5,"(2, 2)",center data,3,3,50000,25051,0.50102,0.069552875,0.03009865048236175,0.1670066667,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.5,"(2, 2)",center data,3,3,50000,25059,0.50118,0.07288748125,0.04938800370071181,0.16706,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.5,"(2, 2)",center data,3,3,50000,25050,0.501,0.09276209375,0.05166230969001324,0.167,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.75,"(2, 2)",center data,3,3,50000,1409,0.02818,0.0009206220687499999,0.0005534349564312941,0.009393333333,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.75,"(2, 2)",center data,3,3,50000,2662,0.05324,0.001523685625,0.0006198826091383023,0.01774666667,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.75,"(2, 2)",center data,3,3,50000,3253,0.06506,0.0016166,0.0008724965479444604,0.02168666667,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.75,"(2, 2)",center data,3,3,50000,4215,0.0843,0.002145719375,0.0013113243505206327,0.0281,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.75,"(2, 2)",center data,3,3,50000,5593,0.11186,0.00272868375,0.0011943175260210063,0.03728666667,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.75,"(2, 2)",center data,3,3,50000,5146,0.10292,0.0034518187499999998,0.0014308455154290547,0.03430666667,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.75,"(2, 2)",center data,3,3,50000,7083,0.14166,0.00515956875,0.0020918183494626004,0.04722,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.75,"(2, 2)",center data,3,3,50000,4922,0.09844,0.005453638125,0.0035207663715876884,0.03281333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.75,"(2, 2)",center data,3,3,50000,11847,0.23694,0.0077953499999999995,0.00484695165232747,0.07898,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.75,"(2, 2)",center data,3,3,50000,13525,0.2705,0.00782893125,0.003727006653924626,0.09016666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.75,"(2, 2)",center data,3,3,50000,15221,0.30442,0.011346599999999998,0.005984197806828414,0.1014733333,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.75,"(2, 2)",center data,3,3,50000,19670,0.3934,0.0164126375,0.005919512619810329,0.1311333333,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.75,"(2, 2)",center data,3,3,50000,18514,0.37028,0.0170588375,0.0076389167438743405,0.1234266667,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.75,"(2, 2)",center data,3,3,50000,23321,0.46642,0.0294788,0.012616966575805771,0.1554733333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.75,"(2, 2)",center data,3,3,50000,24477,0.48954,0.035185493750000005,0.014022137991648632,0.16318,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.75,"(2, 2)",center data,3,3,50000,24745,0.4949,0.041150124999999996,0.022470873872846492,0.1649666667,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.75,"(2, 2)",center data,3,3,50000,24818,0.49636,0.04908875,0.02479766041509763,0.1654533333,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.75,"(2, 2)",center data,3,3,50000,24913,0.49826,0.08589159875,0.03811654431890466,0.1660866667,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.75,"(2, 2)",center data,3,3,50000,24864,0.49728,0.07017475000000001,0.023774535054602013,0.16576,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.75,"(2, 2)",center data,3,3,50000,25058,0.50116,0.1367524375,0.050534055822495524,0.1670533333,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.0,"(3, 3)",center data,5,3,50000,9877,0.19754,0.01124941,0.00681028230070456,0.06584666667,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.0,"(3, 3)",center data,5,3,50000,79,0.00158,0.0010237507551020407,0.0005668321242675421,0.0005266666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.0,"(3, 3)",center data,5,3,50000,90,0.0018,0.0012275014285714285,0.0006696177383083148,0.0006,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.0,"(3, 3)",center data,5,3,50000,1847,0.03694,0.004502942653061224,0.0020694795860231215,0.01231333333,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.0,"(3, 3)",center data,5,3,50000,2459,0.04918,0.005041982653061224,0.002574137992323165,0.01639333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.0,"(3, 3)",center data,5,3,50000,4786,0.09572,0.007184694285714285,0.0038861099422052028,0.03190666667,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.0,"(3, 3)",center data,5,3,50000,14173,0.28346,0.01349114591836735,0.0078341792056178,0.09448666667,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.0,"(3, 3)",center data,5,3,50000,762,0.01524,0.0027762200408163263,0.0012056610476564292,0.00508,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.0,"(3, 3)",center data,5,3,50000,1120,0.0224,0.003660812448979592,0.0016969070991113245,0.007466666667,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.0,"(3, 3)",center data,5,3,50000,9614,0.19228,0.010250783673469387,0.004667628819876491,0.06409333333,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.0,"(3, 3)",center data,5,3,50000,589,0.01178,0.0027715940816326534,0.0016452969262619479,0.003926666667,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.0,"(3, 3)",center data,5,3,50000,160,0.0032,0.0014347165448979592,0.000818913220604057,0.001066666667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.0,"(3, 3)",center data,5,3,50000,22537,0.45074,0.023723389795918367,0.008836508796712968,0.1502466667,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.0,"(3, 3)",center data,5,3,50000,23537,0.47074,0.02631918163265306,0.013464958453154352,0.1569133333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.0,"(3, 3)",center data,5,3,50000,24233,0.48466,0.031975281632653056,0.01640513059819849,0.1615533333,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.0,"(3, 3)",center data,5,3,50000,24715,0.4943,0.04492631020408163,0.02236081494732854,0.1647666667,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.0,"(3, 3)",center data,5,3,50000,24973,0.49946,0.06328105714285714,0.03762898539748423,0.1664866667,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.0,"(3, 3)",center data,5,3,50000,24818,0.49636,0.054446025102040815,0.027160226589415797,0.1654533333,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.0,"(3, 3)",center data,5,3,50000,24921,0.49842,0.11727644285714287,0.06101205408908128,0.16614,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.0,"(3, 3)",center data,5,3,50000,24749,0.49498,0.07514870204081632,0.04425306395139114,0.1649933333,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.05,"(3, 3)",center data,5,3,50000,145,0.0029,0.0011359383333333333,0.0005530604347979422,0.0009666666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.05,"(3, 3)",center data,5,3,50000,192,0.00384,0.0012693898333333334,0.0007415087819201057,0.00128,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.05,"(3, 3)",center data,5,3,50000,482,0.00964,0.0018115313125,0.0009339434135587202,0.003213333333,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.05,"(3, 3)",center data,5,3,50000,649,0.01298,0.002231534166666667,0.001017452536208351,0.004326666667,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.05,"(3, 3)",center data,5,3,50000,882,0.01764,0.0029090149999999996,0.0015343105470984354,0.00588,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.05,"(3, 3)",center data,5,3,50000,1659,0.03318,0.003712710208333334,0.0019068815447123451,0.01106,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.05,"(3, 3)",center data,5,3,50000,2386,0.04772,0.004403157916666667,0.0024235949712461914,0.01590666667,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.05,"(3, 3)",center data,5,3,50000,3047,0.06094,0.00526219,0.0029575386877492126,0.02031333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.05,"(3, 3)",center data,5,3,50000,5394,0.10788,0.006875283125,0.0038119077091355873,0.03596,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.05,"(3, 3)",center data,5,3,50000,9663,0.19326,0.009580393958333332,0.004836367865149312,0.06442,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.05,"(3, 3)",center data,5,3,50000,9633,0.19266,0.011242006041666667,0.006691397166773711,0.06422,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.05,"(3, 3)",center data,5,3,50000,16612,0.33224,0.015491852083333332,0.007715158484465003,0.1107466667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.05,"(3, 3)",center data,5,3,50000,17478,0.34956,0.016349961458333336,0.009306159638985083,0.11652,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.05,"(3, 3)",center data,5,3,50000,23142,0.46284,0.022556354583333337,0.013285737962046299,0.15428,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.05,"(3, 3)",center data,5,3,50000,24854,0.49708,0.037927875,0.017325254685122957,0.1656933333,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.05,"(3, 3)",center data,5,3,50000,24886,0.49772,0.04382849375,0.021483392720186276,0.1659066667,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.05,"(3, 3)",center data,5,3,50000,24829,0.49658,0.057211291666666664,0.02397077971802191,0.1655266667,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.05,"(3, 3)",center data,5,3,50000,25097,0.50194,0.06124592191666667,0.035322378054913374,0.1673133333,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.05,"(3, 3)",center data,5,3,50000,24928,0.49856,0.0797806875,0.03911845585960473,0.1661866667,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.25,"(3, 3)",center data,5,3,50000,247,0.00494,0.0011091633333333334,0.00045523176449535635,0.001646666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.25,"(3, 3)",center data,5,3,50000,333,0.00666,0.0012720979166666666,0.0005481781252094613,0.00222,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.05,"(3, 3)",center data,5,3,50000,25008,0.50016,0.08741422708333334,0.045123573140307065,0.16672,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.25,"(3, 3)",center data,5,3,50000,615,0.0123,0.0017523854166666668,0.0007489622220389311,0.0041,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.25,"(3, 3)",center data,5,3,50000,844,0.01688,0.001979702083333333,0.0010815647989062698,0.005626666667,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.25,"(3, 3)",center data,5,3,50000,1253,0.02506,0.0025056120833333332,0.001252041793450067,0.008353333333,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.25,"(3, 3)",center data,5,3,50000,2788,0.05576,0.0035815041666666663,0.0017734733088300592,0.01858666667,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.25,"(3, 3)",center data,5,3,50000,4169,0.08338,0.00515838125,0.0021028712470152417,0.02779333333,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.25,"(3, 3)",center data,5,3,50000,7271,0.14542,0.005921908541666666,0.002977624820328689,0.04847333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.25,"(3, 3)",center data,5,3,50000,7309,0.14618,0.008290668333333334,0.004037565468889397,0.04872666667,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.25,"(3, 3)",center data,5,3,50000,11880,0.2376,0.010657812500000002,0.004913247224071241,0.0792,heterogeneous-defect-sig-scalar
