p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.00885866790410082,0.25,"(6, 6)",center data,11,3,50000,7857,0.15714,0.05238,heterogeneous-defect
0.006,0.00885866790410082,0.5,"(6, 6)",center data,11,3,50000,9106,0.18212,0.06070666667,heterogeneous-defect
0.006,0.00885866790410082,0.75,"(6, 6)",center data,11,3,50000,8619,0.17238,0.05746,heterogeneous-defect
0.006,0.0112883789168469,0.0,"(6, 6)",center data,11,3,50000,10786,0.21572,0.07190666667,heterogeneous-defect
0.006,0.0112883789168469,0.05,"(6, 6)",center data,11,3,50000,10159,0.20318,0.06772666667,heterogeneous-defect
0.006,0.0112883789168469,0.25,"(6, 6)",center data,11,3,50000,13239,0.26478,0.08826,heterogeneous-defect
0.006,0.0112883789168469,0.5,"(6, 6)",center data,11,3,50000,13567,0.27134,0.09044666667,heterogeneous-defect
0.006,0.0112883789168469,0.75,"(6, 6)",center data,11,3,50000,14835,0.2967,0.0989,heterogeneous-defect
0.006,0.0143844988828766,0.0,"(6, 6)",center data,11,3,50000,17777,0.35554,0.1185133333,heterogeneous-defect
0.006,0.0143844988828766,0.05,"(6, 6)",center data,11,3,50000,17907,0.35814,0.11938,heterogeneous-defect
0.006,0.0143844988828766,0.25,"(6, 6)",center data,11,3,50000,18932,0.37864,0.1262133333,heterogeneous-defect
0.006,0.0143844988828766,0.5,"(6, 6)",center data,11,3,50000,19079,0.38158,0.1271933333,heterogeneous-defect
0.006,0.0143844988828766,0.75,"(6, 6)",center data,11,3,50000,19218,0.38436,0.12812,heterogeneous-defect
0.006,0.0183298071083244,0.0,"(6, 6)",center data,11,3,50000,22445,0.4489,0.1496333333,heterogeneous-defect
0.006,0.0183298071083244,0.05,"(6, 6)",center data,11,3,50000,22042,0.44084,0.1469466667,heterogeneous-defect
0.006,0.0183298071083244,0.25,"(6, 6)",center data,11,3,50000,23218,0.46436,0.1547866667,heterogeneous-defect
0.006,0.0183298071083244,0.5,"(6, 6)",center data,11,3,50000,22522,0.45044,0.1501466667,heterogeneous-defect
0.006,0.0183298071083244,0.75,"(6, 6)",center data,11,3,50000,23071,0.46142,0.1538066667,heterogeneous-defect
0.006,0.0233572146909012,0.0,"(6, 6)",center data,11,3,50000,24715,0.4943,0.1647666667,heterogeneous-defect
0.006,0.0233572146909012,0.05,"(6, 6)",center data,11,3,50000,24495,0.4899,0.1633,heterogeneous-defect
0.006,0.0233572146909012,0.25,"(6, 6)",center data,11,3,50000,24665,0.4933,0.1644333333,heterogeneous-defect
0.006,0.0233572146909012,0.5,"(6, 6)",center data,11,3,50000,24773,0.49546,0.1651533333,heterogeneous-defect
0.006,0.0233572146909012,0.75,"(6, 6)",center data,11,3,50000,24723,0.49446,0.16482,heterogeneous-defect
0.006,0.0297635144163132,0.0,"(6, 6)",center data,11,3,50000,24850,0.497,0.1656666667,heterogeneous-defect
0.006,0.0297635144163132,0.05,"(6, 6)",center data,11,3,50000,24928,0.49856,0.1661866667,heterogeneous-defect
0.006,0.0297635144163132,0.25,"(6, 6)",center data,11,3,50000,24887,0.49774,0.1659133333,heterogeneous-defect
0.006,0.0297635144163132,0.5,"(6, 6)",center data,11,3,50000,25086,0.50172,0.16724,heterogeneous-defect
0.006,0.0297635144163132,0.75,"(6, 6)",center data,11,3,50000,24747,0.49494,0.16498,heterogeneous-defect
0.006,0.0379269019073225,0.0,"(6, 6)",center data,11,3,50000,24920,0.4984,0.1661333333,heterogeneous-defect
0.006,0.0379269019073225,0.05,"(6, 6)",center data,11,3,50000,25193,0.50386,0.1679533333,heterogeneous-defect
0.006,0.0379269019073225,0.25,"(6, 6)",center data,11,3,50000,24963,0.49926,0.16642,heterogeneous-defect
0.006,0.0379269019073225,0.5,"(6, 6)",center data,11,3,50000,24661,0.49322,0.1644066667,heterogeneous-defect
0.006,0.0379269019073225,0.75,"(6, 6)",center data,11,3,50000,24935,0.4987,0.1662333333,heterogeneous-defect
0.006,0.0483293023857175,0.0,"(6, 6)",center data,11,3,50000,24608,0.49216,0.1640533333,heterogeneous-defect
0.006,0.0483293023857175,0.05,"(6, 6)",center data,11,3,50000,25056,0.50112,0.16704,heterogeneous-defect
