p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.00127427498570313,0.0,"(2, 2)",center data,3,3,50000,5846,0.11692,0.03897333333,heterogeneous-defect
0.006,0.001,0.5,"(2, 2)",center data,3,3,50000,10349,0.20698,0.06899333333,heterogeneous-defect
0.006,0.001,0.0,"(2, 2)",center data,3,3,50000,7707,0.15414,0.05138,heterogeneous-defect
0.006,0.00127427498570313,0.05,"(2, 2)",center data,3,3,50000,7636,0.15272,0.05090666667,heterogeneous-defect
0.006,0.00127427498570313,0.25,"(2, 2)",center data,3,3,50000,3497,0.06994,0.02331333333,heterogeneous-defect
0.006,0.001,0.75,"(2, 2)",center data,3,3,50000,7397,0.14794,0.04931333333,heterogeneous-defect
0.006,0.00162377673918872,0.0,"(2, 2)",center data,3,3,50000,10517,0.21034,0.07011333333,heterogeneous-defect
0.006,0.00127427498570313,0.5,"(2, 2)",center data,3,3,50000,8483,0.16966,0.05655333333,heterogeneous-defect
0.006,0.00162377673918872,0.05,"(2, 2)",center data,3,3,50000,9380,0.1876,0.06253333333,heterogeneous-defect
0.006,0.00127427498570313,0.75,"(2, 2)",center data,3,3,50000,10259,0.20518,0.06839333333,heterogeneous-defect
0.006,0.001,0.05,"(2, 2)",center data,3,3,50000,6354,0.12708,0.04236,heterogeneous-defect
0.006,0.001,0.25,"(2, 2)",center data,3,3,50000,7428,0.14856,0.04952,heterogeneous-defect
0.006,0.00162377673918872,0.25,"(2, 2)",center data,3,3,50000,11361,0.22722,0.07574,heterogeneous-defect
0.006,0.00162377673918872,0.5,"(2, 2)",center data,3,3,50000,12192,0.24384,0.08128,heterogeneous-defect
0.006,0.00162377673918872,0.75,"(2, 2)",center data,3,3,50000,11907,0.23814,0.07938,heterogeneous-defect
0.006,0.00206913808111479,0.0,"(2, 2)",center data,3,3,50000,7774,0.15548,0.05182666667,heterogeneous-defect
0.006,0.00206913808111479,0.05,"(2, 2)",center data,3,3,50000,5286,0.10572,0.03524,heterogeneous-defect
0.006,0.00206913808111479,0.25,"(2, 2)",center data,3,3,50000,7739,0.15478,0.05159333333,heterogeneous-defect
0.006,0.00206913808111479,0.5,"(2, 2)",center data,3,3,50000,7605,0.1521,0.0507,heterogeneous-defect
0.006,0.00206913808111479,0.75,"(2, 2)",center data,3,3,50000,10326,0.20652,0.06884,heterogeneous-defect
0.006,0.00263665089873036,0.0,"(2, 2)",center data,3,3,50000,9351,0.18702,0.06234,heterogeneous-defect
0.006,0.00263665089873036,0.05,"(2, 2)",center data,3,3,50000,8780,0.1756,0.05853333333,heterogeneous-defect
0.006,0.00263665089873036,0.25,"(2, 2)",center data,3,3,50000,5824,0.11648,0.03882666667,heterogeneous-defect
0.006,0.00263665089873036,0.5,"(2, 2)",center data,3,3,50000,10345,0.2069,0.06896666667,heterogeneous-defect
0.006,0.00263665089873036,0.75,"(2, 2)",center data,3,3,50000,6877,0.13754,0.04584666667,heterogeneous-defect
0.006,0.00335981828628378,0.0,"(2, 2)",center data,3,3,50000,9090,0.1818,0.0606,heterogeneous-defect
0.006,0.00335981828628378,0.05,"(2, 2)",center data,3,3,50000,8829,0.17658,0.05886,heterogeneous-defect
0.006,0.00335981828628378,0.25,"(2, 2)",center data,3,3,50000,12989,0.25978,0.08659333333,heterogeneous-defect
0.006,0.00335981828628378,0.5,"(2, 2)",center data,3,3,50000,9725,0.1945,0.06483333333,heterogeneous-defect
0.006,0.00335981828628378,0.75,"(2, 2)",center data,3,3,50000,6461,0.12922,0.04307333333,heterogeneous-defect
0.006,0.0042813323987194,0.0,"(2, 2)",center data,3,3,50000,6374,0.12748,0.04249333333,heterogeneous-defect
0.006,0.0042813323987194,0.05,"(2, 2)",center data,3,3,50000,8446,0.16892,0.05630666667,heterogeneous-defect
0.006,0.0042813323987194,0.25,"(2, 2)",center data,3,3,50000,11979,0.23958,0.07986,heterogeneous-defect
0.006,0.0042813323987194,0.5,"(2, 2)",center data,3,3,50000,11908,0.23816,0.07938666667,heterogeneous-defect
0.006,0.0042813323987194,0.75,"(2, 2)",center data,3,3,50000,7574,0.15148,0.05049333333,heterogeneous-defect
0.006,0.00545559478116852,0.0,"(2, 2)",center data,3,3,50000,11726,0.23452,0.07817333333,heterogeneous-defect
0.006,0.00545559478116852,0.05,"(2, 2)",center data,3,3,50000,11042,0.22084,0.07361333333,heterogeneous-defect
0.006,0.00545559478116852,0.25,"(2, 2)",center data,3,3,50000,11378,0.22756,0.07585333333,heterogeneous-defect
0.006,0.00545559478116852,0.5,"(2, 2)",center data,3,3,50000,12961,0.25922,0.08640666667,heterogeneous-defect
0.006,0.00545559478116852,0.75,"(2, 2)",center data,3,3,50000,10798,0.21596,0.07198666667,heterogeneous-defect
0.006,0.0069519279617756,0.0,"(2, 2)",center data,3,3,50000,10991,0.21982,0.07327333333,heterogeneous-defect
0.006,0.0069519279617756,0.05,"(2, 2)",center data,3,3,50000,14085,0.2817,0.0939,heterogeneous-defect
0.006,0.0069519279617756,0.25,"(2, 2)",center data,3,3,50000,15792,0.31584,0.10528,heterogeneous-defect
0.006,0.0069519279617756,0.5,"(2, 2)",center data,3,3,50000,10547,0.21094,0.07031333333,heterogeneous-defect
0.006,0.0069519279617756,0.75,"(2, 2)",center data,3,3,50000,13078,0.26156,0.08718666667,heterogeneous-defect
0.006,0.00885866790410082,0.0,"(2, 2)",center data,3,3,50000,14434,0.28868,0.09622666667,heterogeneous-defect
0.006,0.00885866790410082,0.05,"(2, 2)",center data,3,3,50000,14938,0.29876,0.09958666667,heterogeneous-defect
0.006,0.00885866790410082,0.25,"(2, 2)",center data,3,3,50000,11593,0.23186,0.07728666667,heterogeneous-defect
0.006,0.00885866790410082,0.5,"(2, 2)",center data,3,3,50000,13830,0.2766,0.0922,heterogeneous-defect
0.006,0.00885866790410082,0.75,"(2, 2)",center data,3,3,50000,16980,0.3396,0.1132,heterogeneous-defect
0.006,0.0112883789168469,0.0,"(2, 2)",center data,3,3,50000,15795,0.3159,0.1053,heterogeneous-defect
0.006,0.0112883789168469,0.05,"(2, 2)",center data,3,3,50000,16286,0.32572,0.1085733333,heterogeneous-defect
0.006,0.0112883789168469,0.25,"(2, 2)",center data,3,3,50000,13500,0.27,0.09,heterogeneous-defect
0.006,0.0112883789168469,0.5,"(2, 2)",center data,3,3,50000,14767,0.29534,0.09844666667,heterogeneous-defect
0.006,0.0112883789168469,0.75,"(2, 2)",center data,3,3,50000,11857,0.23714,0.07904666667,heterogeneous-defect
0.006,0.0143844988828766,0.0,"(2, 2)",center data,3,3,50000,14539,0.29078,0.09692666667,heterogeneous-defect
0.006,0.0143844988828766,0.05,"(2, 2)",center data,3,3,50000,13596,0.27192,0.09064,heterogeneous-defect
0.006,0.0143844988828766,0.25,"(2, 2)",center data,3,3,50000,19710,0.3942,0.1314,heterogeneous-defect
0.006,0.0143844988828766,0.5,"(2, 2)",center data,3,3,50000,18387,0.36774,0.12258,heterogeneous-defect
0.006,0.0143844988828766,0.75,"(2, 2)",center data,3,3,50000,18673,0.37346,0.1244866667,heterogeneous-defect
0.006,0.0183298071083244,0.0,"(2, 2)",center data,3,3,50000,17745,0.3549,0.1183,heterogeneous-defect
0.006,0.0183298071083244,0.05,"(2, 2)",center data,3,3,50000,17705,0.3541,0.1180333333,heterogeneous-defect
0.006,0.0183298071083244,0.5,"(2, 2)",center data,3,3,50000,19540,0.3908,0.1302666667,heterogeneous-defect
0.006,0.0183298071083244,0.25,"(2, 2)",center data,3,3,50000,22380,0.4476,0.1492,heterogeneous-defect
0.006,0.0183298071083244,0.75,"(2, 2)",center data,3,3,50000,19298,0.38596,0.1286533333,heterogeneous-defect
0.006,0.0233572146909012,0.0,"(2, 2)",center data,3,3,50000,21926,0.43852,0.1461733333,heterogeneous-defect
0.006,0.0233572146909012,0.05,"(2, 2)",center data,3,3,50000,21183,0.42366,0.14122,heterogeneous-defect
0.006,0.0233572146909012,0.25,"(2, 2)",center data,3,3,50000,21841,0.43682,0.1456066667,heterogeneous-defect
0.006,0.0233572146909012,0.5,"(2, 2)",center data,3,3,50000,22159,0.44318,0.1477266667,heterogeneous-defect
0.006,0.0233572146909012,0.75,"(2, 2)",center data,3,3,50000,21822,0.43644,0.14548,heterogeneous-defect
0.006,0.0297635144163132,0.0,"(2, 2)",center data,3,3,50000,22984,0.45968,0.1532266667,heterogeneous-defect
0.006,0.0297635144163132,0.05,"(2, 2)",center data,3,3,50000,23505,0.4701,0.1567,heterogeneous-defect
0.006,0.0297635144163132,0.25,"(2, 2)",center data,3,3,50000,24146,0.48292,0.1609733333,heterogeneous-defect
0.006,0.0297635144163132,0.5,"(2, 2)",center data,3,3,50000,23436,0.46872,0.15624,heterogeneous-defect
0.006,0.0297635144163132,0.75,"(2, 2)",center data,3,3,50000,22952,0.45904,0.1530133333,heterogeneous-defect
0.006,0.0379269019073225,0.0,"(2, 2)",center data,3,3,50000,23854,0.47708,0.1590266667,heterogeneous-defect
0.006,0.0379269019073225,0.05,"(2, 2)",center data,3,3,50000,24676,0.49352,0.1645066667,heterogeneous-defect
0.006,0.0379269019073225,0.25,"(2, 2)",center data,3,3,50000,24760,0.4952,0.1650666667,heterogeneous-defect
0.006,0.0379269019073225,0.5,"(2, 2)",center data,3,3,50000,24472,0.48944,0.1631466667,heterogeneous-defect
0.006,0.0379269019073225,0.75,"(2, 2)",center data,3,3,50000,24385,0.4877,0.1625666667,heterogeneous-defect
0.006,0.0483293023857175,0.0,"(2, 2)",center data,3,3,50000,24733,0.49466,0.1648866667,heterogeneous-defect
0.006,0.0483293023857175,0.05,"(2, 2)",center data,3,3,50000,25118,0.50236,0.1674533333,heterogeneous-defect
0.006,0.0483293023857175,0.25,"(2, 2)",center data,3,3,50000,24887,0.49774,0.1659133333,heterogeneous-defect
0.006,0.0483293023857175,0.5,"(2, 2)",center data,3,3,50000,24740,0.4948,0.1649333333,heterogeneous-defect
0.006,0.0483293023857175,0.75,"(2, 2)",center data,3,3,50000,24857,0.49714,0.1657133333,heterogeneous-defect
0.006,0.0615848211066026,0.0,"(2, 2)",center data,3,3,50000,25012,0.50024,0.1667466667,heterogeneous-defect
0.006,0.0615848211066026,0.05,"(2, 2)",center data,3,3,50000,25007,0.50014,0.1667133333,heterogeneous-defect
0.006,0.0615848211066026,0.25,"(2, 2)",center data,3,3,50000,24968,0.49936,0.1664533333,heterogeneous-defect
