distance,line,xy coord
9,0.0,0.001514
9,0.0,0.002203
9,0.05,0.001125
9,0.75,0.001038
11,0.0,0.001576
11,0.0,0.001712
11,0.0,0.002259
11,0.05,0.001547
11,0.25,0.002769
11,0.5,0.001822
11,0.75,0.001188
13,0.0,0.003378
13,0.05,0.002724
13,0.25,0.002279
13,0.5,0.002856
13,0.75,0.002162
15,0.0,0.003743
15,0.05,0.00333
15,0.25,0.003916
15,0.5,0.002927
15,0.75,0.002583
17,0.0,0.004234
17,0.05,0.004644
17,0.25,0.00399
17,0.5,0.004202
17,0.75,0.004366
