p,distance,rounds,shots,errors,ler_shot,ler_round,noise_model,mu_out,sigma_out
0.0069519279617756,9,3,50000,3226,0.06452,0.02150666667,homogeneous-uniform,,
0.0069519279617756,13,3,50000,2167,0.04334,0.01444666667,homogeneous-uniform,,
0.0069519279617756,11,3,50000,2678,0.05356,0.01785333333,homogeneous-uniform,,
0.0069519279617756,15,3,50000,1830,0.0366,0.0122,homogeneous-uniform,,
0.0069519279617756,17,3,50000,1436,0.02872,0.009573333333,homogeneous-uniform,,
0.00885866790410082,3,3,50000,11969,0.23938,0.07979333333,homogeneous-uniform,,
0.00885866790410082,5,3,50000,7803,0.15606,0.05202,homogeneous-uniform,,
0.00885866790410082,7,3,50000,7037,0.14074,0.04691333333,homogeneous-uniform,,
0.00885866790410082,9,3,50000,6720,0.1344,0.0448,homogeneous-uniform,,
0.00885866790410082,11,3,50000,6363,0.12726,0.04242,homogeneous-uniform,,
0.00885866790410082,13,3,50000,5832,0.11664,0.03888,homogeneous-uniform,,
0.00885866790410082,15,3,50000,5600,0.112,0.03733333333,homogeneous-uniform,,
0.00885866790410082,17,3,50000,5310,0.1062,0.0354,homogeneous-uniform,,
0.0112883789168469,3,3,50000,14652,0.29304,0.09768,homogeneous-uniform,,
0.0112883789168469,5,3,50000,11439,0.22878,0.07626,homogeneous-uniform,,
0.0112883789168469,7,3,50000,11696,0.23392,0.07797333333,homogeneous-uniform,,
0.0112883789168469,9,3,50000,11866,0.23732,0.07910666667,homogeneous-uniform,,
0.0112883789168469,11,3,50000,12096,0.24192,0.08064,homogeneous-uniform,,
0.0112883789168469,13,3,50000,12486,0.24972,0.08324,homogeneous-uniform,,
0.0112883789168469,15,3,50000,12587,0.25174,0.08391333333,homogeneous-uniform,,
0.0112883789168469,17,3,50000,12953,0.25906,0.08635333333,homogeneous-uniform,,
0.0143844988828766,3,3,50000,17233,0.34466,0.1148866667,homogeneous-uniform,,
0.0143844988828766,5,3,50000,15711,0.31422,0.10474,homogeneous-uniform,,
0.0143844988828766,7,3,50000,16817,0.33634,0.1121133333,homogeneous-uniform,,
0.0143844988828766,9,3,50000,17616,0.35232,0.11744,homogeneous-uniform,,
0.0143844988828766,11,3,50000,18566,0.37132,0.1237733333,homogeneous-uniform,,
0.0143844988828766,13,3,50000,19356,0.38712,0.12904,homogeneous-uniform,,
0.0143844988828766,15,3,50000,19957,0.39914,0.1330466667,homogeneous-uniform,,
0.0183298071083244,3,3,50000,19967,0.39934,0.1331133333,homogeneous-uniform,,
0.0143844988828766,17,3,50000,20593,0.41186,0.1372866667,homogeneous-uniform,,
0.0183298071083244,5,3,50000,19589,0.39178,0.1305933333,homogeneous-uniform,,
0.0183298071083244,7,3,50000,21110,0.4222,0.1407333333,homogeneous-uniform,,
0.0183298071083244,9,3,50000,22177,0.44354,0.1478466667,homogeneous-uniform,,
0.0183298071083244,11,3,50000,23131,0.46262,0.1542066667,homogeneous-uniform,,
0.0183298071083244,13,3,50000,23667,0.47334,0.15778,homogeneous-uniform,,
0.0183298071083244,15,3,50000,23908,0.47816,0.1593866667,homogeneous-uniform,,
0.0183298071083244,17,3,50000,24222,0.48444,0.16148,homogeneous-uniform,,
0.0233572146909012,3,3,50000,21869,0.43738,0.1457933333,homogeneous-uniform,,
0.0233572146909012,5,3,50000,22716,0.45432,0.15144,homogeneous-uniform,,
0.0233572146909012,7,3,50000,23681,0.47362,0.1578733333,homogeneous-uniform,,
0.0233572146909012,9,3,50000,24385,0.4877,0.1625666667,homogeneous-uniform,,
0.0233572146909012,11,3,50000,24552,0.49104,0.16368,homogeneous-uniform,,
0.0233572146909012,13,3,50000,24885,0.4977,0.1659,homogeneous-uniform,,
0.0233572146909012,15,3,50000,24795,0.4959,0.1653,homogeneous-uniform,,
0.0233572146909012,17,3,50000,24822,0.49644,0.16548,homogeneous-uniform,,
0.0297635144163132,3,3,50000,23293,0.46586,0.1552866667,homogeneous-uniform,,
0.0297635144163132,5,3,50000,24243,0.48486,0.16162,homogeneous-uniform,,
0.0297635144163132,7,3,50000,24687,0.49374,0.16458,homogeneous-uniform,,
0.0297635144163132,9,3,50000,24967,0.49934,0.1664466667,homogeneous-uniform,,
0.0297635144163132,11,3,50000,24862,0.49724,0.1657466667,homogeneous-uniform,,
0.0297635144163132,13,3,50000,25096,0.50192,0.1673066667,homogeneous-uniform,,
0.0297635144163132,15,3,50000,25213,0.50426,0.1680866667,homogeneous-uniform,,
0.0297635144163132,17,3,50000,24699,0.49398,0.16466,homogeneous-uniform,,
0.0379269019073225,3,3,50000,24238,0.48476,0.1615866667,homogeneous-uniform,,
0.0379269019073225,5,3,50000,24956,0.49912,0.1663733333,homogeneous-uniform,,
0.0379269019073225,7,3,50000,25080,0.5016,0.1672,homogeneous-uniform,,
0.0379269019073225,9,3,50000,25133,0.50266,0.1675533333,homogeneous-uniform,,
0.0379269019073225,11,3,50000,24877,0.49754,0.1658466667,homogeneous-uniform,,
0.0379269019073225,13,3,50000,25056,0.50112,0.16704,homogeneous-uniform,,
0.0379269019073225,15,3,50000,24875,0.4975,0.1658333333,homogeneous-uniform,,
0.0379269019073225,17,3,50000,25090,0.5018,0.1672666667,homogeneous-uniform,,
0.0483293023857175,3,3,50000,24741,0.49482,0.16494,homogeneous-uniform,,
0.0483293023857175,5,3,50000,25046,0.50092,0.1669733333,homogeneous-uniform,,
0.0483293023857175,7,3,50000,25009,0.50018,0.1667266667,homogeneous-uniform,,
0.0483293023857175,9,3,50000,24932,0.49864,0.1662133333,homogeneous-uniform,,
0.0483293023857175,11,3,50000,24889,0.49778,0.1659266667,homogeneous-uniform,,
0.0483293023857175,13,3,50000,24889,0.49778,0.1659266667,homogeneous-uniform,,
0.0483293023857175,15,3,50000,25093,0.50186,0.1672866667,homogeneous-uniform,,
0.0483293023857175,17,3,50000,24953,0.49906,0.1663533333,homogeneous-uniform,,
0.0615848211066026,3,3,50000,25016,0.50032,0.1667733333,homogeneous-uniform,,
0.0615848211066026,5,3,50000,25050,0.501,0.167,homogeneous-uniform,,
0.0615848211066026,7,3,50000,24861,0.49722,0.16574,homogeneous-uniform,,
0.0615848211066026,9,3,50000,24839,0.49678,0.1655933333,homogeneous-uniform,,
0.0615848211066026,11,3,50000,25138,0.50276,0.1675866667,homogeneous-uniform,,
0.0615848211066026,13,3,50000,24964,0.49928,0.1664266667,homogeneous-uniform,,
0.0615848211066026,15,3,50000,24988,0.49976,0.1665866667,homogeneous-uniform,,
0.0615848211066026,17,3,50000,24981,0.49962,0.16654,homogeneous-uniform,,
0.0784759970351461,3,3,50000,24956,0.49912,0.1663733333,homogeneous-uniform,,
0.0784759970351461,5,3,50000,24889,0.49778,0.1659266667,homogeneous-uniform,,
0.0784759970351461,7,3,50000,24947,0.49894,0.1663133333,homogeneous-uniform,,
0.0784759970351461,9,3,50000,24964,0.49928,0.1664266667,homogeneous-uniform,,
0.0784759970351461,11,3,50000,24967,0.49934,0.1664466667,homogeneous-uniform,,
0.0784759970351461,13,3,50000,24964,0.49928,0.1664266667,homogeneous-uniform,,
0.0784759970351461,15,3,50000,25041,0.50082,0.16694,homogeneous-uniform,,
0.0784759970351461,17,3,50000,25062,0.50124,0.16708,homogeneous-uniform,,
0.1,3,3,50000,25003,0.50006,0.1666866667,homogeneous-uniform,,
0.1,5,3,50000,25166,0.50332,0.1677733333,homogeneous-uniform,,
0.1,7,3,50000,25058,0.50116,0.1670533333,homogeneous-uniform,,
0.1,9,3,50000,25051,0.50102,0.1670066667,homogeneous-uniform,,
0.1,11,3,50000,25053,0.50106,0.16702,homogeneous-uniform,,
0.1,13,3,50000,25084,0.50168,0.1672266667,homogeneous-uniform,,
0.1,15,3,50000,24990,0.4998,0.1666,homogeneous-uniform,,
0.1,17,3,50000,25083,0.50166,0.16722,homogeneous-uniform,,
