distance,line,xy coord
5,0.0,0.003045
7,0.0,0.003946
9,0.0,0.004661
9,0.006,0.001079
11,0.0,0.005153
11,0.006,0.002693
13,0.0,0.005683
13,0.006,0.00306
13,0.006,0.003983
13,0.006,0.004325
15,0.0,0.005913
15,0.006,0.004151
17,0.0,0.00619
17,0.006,0.00399
