p_sigma,p_mu,p_sig_scalar,distance,rounds,shots,errors,ler_shot,mu_out,sigma_out,ler_round,noise_model
5.45559478116852e-05,0.00545559478116852,0.01,3,3,50000,7707,0.15414,0.005452388235294117,6.093445738566824e-05,0.05138,heterogeneous-sig-scalar
0.0016366784343505559,0.00545559478116852,0.3,3,3,50000,7299,0.14598,0.005299900000000001,0.0011053592655251743,0.04866,heterogeneous-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,3,3,50000,7992,0.15984,0.00561622705882353,0.0031181431961529414,0.05328,heterogeneous-sig-scalar
6.9519279617756e-05,0.0069519279617756,0.01,3,3,50000,9745,0.1949,0.0069654529411764705,6.145243131788104e-05,0.06496666667,heterogeneous-sig-scalar
0.004910035303051668,0.00545559478116852,0.9,3,3,50000,7834,0.15668,0.0050512,0.0033534636020968282,0.05222666667,heterogeneous-sig-scalar
0.0,0.0069519279617756,0.0,3,3,50000,9789,0.19578,0.0069519279617756,0.0,0.06526,heterogeneous-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,3,3,50000,11434,0.22868,0.0069153,0.0029427640894034222,0.07622666667,heterogeneous-sig-scalar
0.00208557838853268,0.0069519279617756,0.3,3,3,50000,9383,0.18766,0.007487547058823529,0.002139312629607284,0.06255333333,heterogeneous-sig-scalar
0.006256735165598041,0.0069519279617756,0.9,3,3,50000,9017,0.18034,0.006275128823529412,0.0032879205258748577,0.06011333333,heterogeneous-sig-scalar
0.0,0.00885866790410082,0.0,3,3,50000,12049,0.24098,0.00885866790410082,0.0,0.08032666667,heterogeneous-sig-scalar
0.0026576003712302457,0.00885866790410082,0.3,3,3,50000,12148,0.24296,0.008505358823529412,0.00318487531385062,0.08098666667,heterogeneous-sig-scalar
8.858667904100819e-05,0.00885866790410082,0.01,3,3,50000,11960,0.2392,0.008874870588235294,7.238867123510012e-05,0.07973333333,heterogeneous-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,3,3,50000,14018,0.28036,0.009383305882352942,0.0027973426637079505,0.09345333333,heterogeneous-sig-scalar
0.007972801113690737,0.00885866790410082,0.9,3,3,50000,13316,0.26632,0.010263323529411766,0.004867693118865071,0.08877333333,heterogeneous-sig-scalar
0.0,0.0112883789168469,0.0,3,3,50000,14764,0.29528,0.0112883789168469,0.0,0.09842666667,heterogeneous-sig-scalar
0.000112883789168469,0.0112883789168469,0.01,3,3,50000,14358,0.28716,0.011331764705882355,9.792105428339873e-05,0.09572,heterogeneous-sig-scalar
0.0033865136750540702,0.0112883789168469,0.3,3,3,50000,14674,0.29348,0.01062974705882353,0.00431204667143214,0.09782666667,heterogeneous-sig-scalar
0.01015954102516221,0.0112883789168469,0.9,3,3,50000,17778,0.35556,0.012622911764705882,0.008878771509808718,0.11852,heterogeneous-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,3,3,50000,15483,0.30966,0.012268876470588237,0.005274454447788824,0.10322,heterogeneous-sig-scalar
0.0,0.0143844988828766,0.0,3,3,50000,17155,0.3431,0.0143844988828766,0.0,0.1143666667,heterogeneous-sig-scalar
0.000143844988828766,0.0143844988828766,0.01,3,3,50000,17205,0.3441,0.014365764705882352,0.0001315788868329858,0.1147,heterogeneous-sig-scalar
0.00431534966486298,0.0143844988828766,0.3,3,3,50000,16104,0.32208,0.012661941176470588,0.0033398357737115343,0.10736,heterogeneous-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,3,3,50000,20507,0.41014,0.017416911764705882,0.008764945265617656,0.1367133333,heterogeneous-sig-scalar
0.01294604899458894,0.0143844988828766,0.9,3,3,50000,18362,0.36724,0.01425042294117647,0.007680119502429453,0.1224133333,heterogeneous-sig-scalar
0.0,0.0183298071083244,0.0,3,3,50000,20148,0.40296,0.0183298071083244,0.0,0.13432,heterogeneous-sig-scalar
0.00018329807108324403,0.0183298071083244,0.01,3,3,50000,19841,0.39682,0.01835611764705882,0.0001510472782833794,0.1322733333,heterogeneous-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,3,3,50000,19266,0.38532,0.017839394117647057,0.008953628351973266,0.12844,heterogeneous-sig-scalar
0.00549894213249732,0.0183298071083244,0.3,3,3,50000,20220,0.4044,0.019110058823529414,0.005342234765588034,0.1348,heterogeneous-sig-scalar
0.016496826397491962,0.0183298071083244,0.9,3,3,50000,20721,0.41442,0.018258976470588238,0.009979373494630248,0.13814,heterogeneous-sig-scalar
0.00023357214690901198,0.0233572146909012,0.01,3,3,50000,21935,0.4387,0.023274764705882352,0.00021368215246888794,0.1462333333,heterogeneous-sig-scalar
0.0,0.0233572146909012,0.0,3,3,50000,22088,0.44176,0.0233572146909012,0.0,0.1472533333,heterogeneous-sig-scalar
0.0070071644072703596,0.0233572146909012,0.3,3,3,50000,21170,0.4234,0.02147029411764706,0.006884184857249907,0.1411333333,heterogeneous-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,3,3,50000,22961,0.45922,0.027107000000000003,0.012810422948429418,0.1530733333,heterogeneous-sig-scalar
0.02102149322181108,0.0233572146909012,0.9,3,3,50000,22557,0.45114,0.0270279,0.02027183390078896,0.15038,heterogeneous-sig-scalar
0.0,0.0297635144163132,0.0,3,3,50000,23651,0.47302,0.029763514416313204,3.469446951953614e-18,0.1576733333,heterogeneous-sig-scalar
0.000297635144163132,0.0297635144163132,0.01,3,3,50000,23441,0.46882,0.029764764705882355,0.00024691449565809203,0.1562733333,heterogeneous-sig-scalar
0.00892905432489396,0.0297635144163132,0.3,3,3,50000,23733,0.47466,0.029295882352941175,0.005456063328534842,0.15822,heterogeneous-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,3,3,50000,24878,0.49756,0.034147010000000005,0.018399759797964117,0.1658533333,heterogeneous-sig-scalar
0.0,0.0379269019073225,0.0,3,3,50000,24533,0.49066,0.0379269019073225,0.0,0.1635533333,heterogeneous-sig-scalar
0.02678716297468188,0.0297635144163132,0.9,3,3,50000,24622,0.49244,0.03814634117647059,0.020174657364334707,0.1641466667,heterogeneous-sig-scalar
0.000379269019073225,0.0379269019073225,0.01,3,3,50000,24548,0.49096,0.03795129411764705,0.00031236004201522086,0.1636533333,heterogeneous-sig-scalar
0.01137807057219675,0.0379269019073225,0.3,3,3,50000,24037,0.48074,0.03894052941176471,0.012083438501264481,0.1602466667,heterogeneous-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,3,3,50000,23126,0.46252,0.02837721117647059,0.018516044522194287,0.1541733333,heterogeneous-sig-scalar
0.03413421171659025,0.0379269019073225,0.9,3,3,50000,24424,0.48848,0.045662,0.026553553771709332,0.1628266667,heterogeneous-sig-scalar
0.0,0.0483293023857175,0.0,3,3,50000,24895,0.4979,0.0483293023857175,0.0,0.1659666667,heterogeneous-sig-scalar
0.000483293023857175,0.0483293023857175,0.01,3,3,50000,24906,0.49812,0.04838505882352941,0.00044703092018183243,0.16604,heterogeneous-sig-scalar
0.014498790715715248,0.0483293023857175,0.3,3,3,50000,24930,0.4986,0.04459070588235294,0.011109026106330917,0.1662,heterogeneous-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,3,3,50000,25044,0.50088,0.06596482352941177,0.024810153254227793,0.16696,heterogeneous-sig-scalar
0.043496372147145745,0.0483293023857175,0.9,3,3,50000,25038,0.50076,0.05941341764705882,0.03691800643308382,0.16692,heterogeneous-sig-scalar
0.0,0.0615848211066026,0.0,3,3,50000,25050,0.501,0.0615848211066026,0.0,0.167,heterogeneous-sig-scalar
0.01847544633198078,0.0615848211066026,0.3,3,3,50000,25001,0.50002,0.06295194117647059,0.0192616822350996,0.1666733333,heterogeneous-sig-scalar
0.000615848211066026,0.0615848211066026,0.01,3,3,50000,24984,0.49968,0.061506529411764696,0.00077209722929686,0.16656,heterogeneous-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,3,3,50000,24686,0.49372,0.050451823529411764,0.04415897735286916,0.1645733333,heterogeneous-sig-scalar
0.05542633899594234,0.0615848211066026,0.9,3,3,50000,24397,0.48794,0.08156333588235296,0.05381321586337003,0.1626466667,heterogeneous-sig-scalar
0.0,0.0784759970351461,0.0,3,3,50000,24909,0.49818,0.0784759970351461,0.0,0.16606,heterogeneous-sig-scalar
0.000784759970351461,0.0784759970351461,0.01,3,3,50000,24934,0.49868,0.07813505882352942,0.0006340212902890494,0.1662266667,heterogeneous-sig-scalar
0.02354279911054383,0.0784759970351461,0.3,3,3,50000,24899,0.49798,0.08410576470588237,0.025131028415859832,0.1659933333,heterogeneous-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,3,3,50000,25088,0.50176,0.07846126470588236,0.043163884373164686,0.1672533333,heterogeneous-sig-scalar
0.0706283973316315,0.0784759970351461,0.9,3,3,50000,24626,0.49252,0.07199320470588234,0.06405721028925263,0.1641733333,heterogeneous-sig-scalar
0.0,0.1,0.0,3,3,50000,24989,0.49978,0.1,0.0,0.1665933333,heterogeneous-sig-scalar
0.001,0.1,0.01,3,3,50000,24876,0.49752,0.10005888235294116,0.0007711605373684923,0.16584,heterogeneous-sig-scalar
0.03,0.1,0.3,3,3,50000,25025,0.5005,0.10833764705882352,0.029946029885035388,0.1668333333,heterogeneous-sig-scalar
0.06,0.1,0.6,3,3,50000,24960,0.4992,0.09576008823529412,0.055811462887431613,0.1664,heterogeneous-sig-scalar
0.09000000000000001,0.1,0.9,3,3,50000,24905,0.4981,0.1213890588235294,0.055952199413712364,0.1660333333,heterogeneous-sig-scalar
0.0006,0.001,0.6,5,3,50000,83,0.00166,0.0010358551020408161,0.0005283721507442765,0.0005533333333,heterogeneous-sig-scalar
1.27427498570313e-05,0.00127427498570313,0.01,5,3,50000,108,0.00216,0.0012747244897959183,1.3722535176798312e-05,0.00072,heterogeneous-sig-scalar
0.0003,0.001,0.3,5,3,50000,57,0.00114,0.0010576300000000002,0.00026684155521926626,0.00038,heterogeneous-sig-scalar
0.0,0.001,0.0,5,3,50000,59,0.00118,0.001,0.0,0.0003933333333,heterogeneous-sig-scalar
0.0,0.00127427498570313,0.0,5,3,50000,115,0.0023,0.00127427498570313,0.0,0.0007666666667,heterogeneous-sig-scalar
0.001146847487132817,0.00127427498570313,0.9,5,3,50000,157,0.00314,0.0014586581632653058,0.0009419242238482545,0.001046666667,heterogeneous-sig-scalar
0.0,0.00162377673918872,0.0,5,3,50000,236,0.00472,0.0016237767391887197,2.168404344971009e-19,0.001573333333,heterogeneous-sig-scalar
0.000382282495710939,0.00127427498570313,0.3,5,3,50000,163,0.00326,0.0013825542857142856,0.00039590908214706395,0.001086666667,heterogeneous-sig-scalar
1e-05,0.001,0.01,5,3,50000,82,0.00164,0.000999615918367347,8.920607629703935e-06,0.0005466666667,heterogeneous-sig-scalar
0.0009000000000000001,0.001,0.9,5,3,50000,117,0.00234,0.0012494126734693876,0.0007473929622149408,0.00078,heterogeneous-sig-scalar
1.6237767391887198e-05,0.00162377673918872,0.01,5,3,50000,197,0.00394,0.0016232836734693878,1.758136010780499e-05,0.001313333333,heterogeneous-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,5,3,50000,96,0.00192,0.0012878442857142856,0.0005764540621766838,0.00064,heterogeneous-sig-scalar
0.000487133021756616,0.00162377673918872,0.3,5,3,50000,186,0.00372,0.0016056557142857144,0.0004647914066743999,0.00124,heterogeneous-sig-scalar
0.001461399065269848,0.00162377673918872,0.9,5,3,50000,218,0.00436,0.0018098577551020408,0.0010917768741251816,0.001453333333,heterogeneous-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,5,3,50000,235,0.0047,0.001763448163265306,0.0008174268710764596,0.001566666667,heterogeneous-sig-scalar
0.0,0.00206913808111479,0.0,5,3,50000,360,0.0072,0.00206913808111479,0.0,0.0024,heterogeneous-sig-scalar
2.06913808111479e-05,0.00206913808111479,0.01,5,3,50000,374,0.00748,0.002068902040816327,1.7991466115298256e-05,0.002493333333,heterogeneous-sig-scalar
0.0018622242730033111,0.00206913808111479,0.9,5,3,50000,796,0.01592,0.0029210328571428576,0.0015084243171019519,0.005306666667,heterogeneous-sig-scalar
0.000620741424334437,0.00206913808111479,0.3,5,3,50000,412,0.00824,0.0021523991836734694,0.0005990848801597886,0.002746666667,heterogeneous-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,5,3,50000,400,0.008,0.0021156867346938772,0.0010848229081760873,0.002666666667,heterogeneous-sig-scalar
0.0,0.00263665089873036,0.0,5,3,50000,661,0.01322,0.00263665089873036,0.0,0.004406666667,heterogeneous-sig-scalar
2.63665089873036e-05,0.00263665089873036,0.01,5,3,50000,647,0.01294,0.002632163265306122,2.604169885268035e-05,0.004313333333,heterogeneous-sig-scalar
0.000790995269619108,0.00263665089873036,0.3,5,3,50000,697,0.01394,0.0027623938775510203,0.0007175556357319472,0.004646666667,heterogeneous-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,5,3,50000,640,0.0128,0.00267242612244898,0.0010998797371509163,0.004266666667,heterogeneous-sig-scalar
0.002372985808857324,0.00263665089873036,0.9,5,3,50000,933,0.01866,0.0031943155102040818,0.001841681177230064,0.00622,heterogeneous-sig-scalar
0.0,0.00335981828628378,0.0,5,3,50000,1106,0.02212,0.003359818286283781,8.673617379884035e-19,0.007373333333,heterogeneous-sig-scalar
3.35981828628378e-05,0.00335981828628378,0.01,5,3,50000,1072,0.02144,0.0033570836734693878,3.6664982721040455e-05,0.007146666667,heterogeneous-sig-scalar
0.001007945485885134,0.00335981828628378,0.3,5,3,50000,1160,0.0232,0.003398341836734694,0.0010191342526042976,0.007733333333,heterogeneous-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,5,3,50000,1200,0.024,0.00373901693877551,0.0018494740772007504,0.008,heterogeneous-sig-scalar
0.003023836457655402,0.00335981828628378,0.9,5,3,50000,1576,0.03152,0.004403990408163265,0.0023805605853577886,0.01050666667,heterogeneous-sig-scalar
