p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.009,0.0233572146909012,3,3,50000,22951,0.45902,0.1530066667,heterogeneous
0.011,0.0233572146909012,3,3,50000,20773,0.41546,0.1384866667,heterogeneous
0.015,0.0233572146909012,3,3,50000,20936,0.41872,0.1395733333,heterogeneous
0.0,0.0297635144163132,3,3,50000,23391,0.46782,0.15594,heterogeneous
0.006,0.0297635144163132,3,3,50000,23433,0.46866,0.15622,heterogeneous
0.009,0.0297635144163132,3,3,50000,23510,0.4702,0.1567333333,heterogeneous
0.011,0.0297635144163132,3,3,50000,24048,0.48096,0.16032,heterogeneous
0.015,0.0297635144163132,3,3,50000,21840,0.4368,0.1456,heterogeneous
0.0,0.0379269019073225,3,3,50000,24645,0.4929,0.1643,heterogeneous
0.006,0.0379269019073225,3,3,50000,24642,0.49284,0.16428,heterogeneous
0.009,0.0379269019073225,3,3,50000,24581,0.49162,0.1638733333,heterogeneous
0.011,0.0379269019073225,3,3,50000,24591,0.49182,0.16394,heterogeneous
0.0,0.0483293023857175,3,3,50000,24798,0.49596,0.16532,heterogeneous
0.006,0.0483293023857175,3,3,50000,24477,0.48954,0.16318,heterogeneous
0.015,0.0379269019073225,3,3,50000,22805,0.4561,0.1520333333,heterogeneous
0.009,0.0483293023857175,3,3,50000,24644,0.49288,0.1642933333,heterogeneous
0.011,0.0483293023857175,3,3,50000,24707,0.49414,0.1647133333,heterogeneous
0.015,0.0483293023857175,3,3,50000,24467,0.48934,0.1631133333,heterogeneous
0.0,0.0615848211066026,3,3,50000,25030,0.5006,0.1668666667,heterogeneous
0.006,0.0615848211066026,3,3,50000,25064,0.50128,0.1670933333,heterogeneous
0.011,0.0615848211066026,3,3,50000,24975,0.4995,0.1665,heterogeneous
0.009,0.0615848211066026,3,3,50000,25065,0.5013,0.1671,heterogeneous
0.015,0.0615848211066026,3,3,50000,25075,0.5015,0.1671666667,heterogeneous
0.0,0.0784759970351461,3,3,50000,25001,0.50002,0.1666733333,heterogeneous
0.006,0.0784759970351461,3,3,50000,24806,0.49612,0.1653733333,heterogeneous
0.009,0.0784759970351461,3,3,50000,24877,0.49754,0.1658466667,heterogeneous
0.011,0.0784759970351461,3,3,50000,24953,0.49906,0.1663533333,heterogeneous
0.015,0.0784759970351461,3,3,50000,24934,0.49868,0.1662266667,heterogeneous
0.0,0.1,3,3,50000,25055,0.5011,0.1670333333,heterogeneous
0.006,0.1,3,3,50000,25147,0.50294,0.1676466667,heterogeneous
0.009,0.1,3,3,50000,24824,0.49648,0.1654933333,heterogeneous
0.011,0.1,3,3,50000,24953,0.49906,0.1663533333,heterogeneous
0.015,0.1,3,3,50000,24992,0.49984,0.1666133333,heterogeneous
0.009,0.00127427498570313,5,3,50000,4053,0.08106,0.02702,heterogeneous
0.0,0.00127427498570313,5,3,50000,137,0.00274,0.0009133333333,heterogeneous
0.006,0.00127427498570313,5,3,50000,2790,0.0558,0.0186,heterogeneous
0.006,0.00162377673918872,5,3,50000,1893,0.03786,0.01262,heterogeneous
0.006,0.001,5,3,50000,1810,0.0362,0.01206666667,heterogeneous
0.0,0.00162377673918872,5,3,50000,210,0.0042,0.0014,heterogeneous
0.011,0.001,5,3,50000,4801,0.09602,0.03200666667,heterogeneous
0.009,0.001,5,3,50000,4231,0.08462,0.02820666667,heterogeneous
0.011,0.00127427498570313,5,3,50000,5293,0.10586,0.03528666667,heterogeneous
0.015,0.00127427498570313,5,3,50000,10925,0.2185,0.07283333333,heterogeneous
0.0,0.001,5,3,50000,51,0.00102,0.00034,heterogeneous
0.015,0.001,5,3,50000,9815,0.1963,0.06543333333,heterogeneous
0.009,0.00162377673918872,5,3,50000,3718,0.07436,0.02478666667,heterogeneous
0.011,0.00162377673918872,5,3,50000,6716,0.13432,0.04477333333,heterogeneous
0.015,0.00162377673918872,5,3,50000,10489,0.20978,0.06992666667,heterogeneous
