p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0112883789168469,0.75,"(6, 6)",center data,11,3,50000,13355,0.2671,0.08903333333,homogeneous
0.0143844988828766,0.0,"(6, 6)",center data,11,3,50000,18677,0.37354,0.1245133333,homogeneous
0.0143844988828766,0.05,"(6, 6)",center data,11,3,50000,18783,0.37566,0.12522,homogeneous
0.0143844988828766,0.25,"(6, 6)",center data,11,3,50000,19319,0.38638,0.1287933333,homogeneous
0.0143844988828766,0.5,"(6, 6)",center data,11,3,50000,19244,0.38488,0.1282933333,homogeneous
0.0143844988828766,0.75,"(6, 6)",center data,11,3,50000,19536,0.39072,0.13024,homogeneous
0.0183298071083244,0.0,"(6, 6)",center data,11,3,50000,22930,0.4586,0.1528666667,homogeneous
0.0183298071083244,0.05,"(6, 6)",center data,11,3,50000,23328,0.46656,0.15552,homogeneous
0.0183298071083244,0.25,"(6, 6)",center data,11,3,50000,23309,0.46618,0.1553933333,homogeneous
0.0183298071083244,0.5,"(6, 6)",center data,11,3,50000,23499,0.46998,0.15666,homogeneous
0.0183298071083244,0.75,"(6, 6)",center data,11,3,50000,23365,0.4673,0.1557666667,homogeneous
0.0233572146909012,0.0,"(6, 6)",center data,11,3,50000,24780,0.4956,0.1652,homogeneous
0.0233572146909012,0.05,"(6, 6)",center data,11,3,50000,24591,0.49182,0.16394,homogeneous
0.0233572146909012,0.25,"(6, 6)",center data,11,3,50000,24761,0.49522,0.1650733333,homogeneous
0.0233572146909012,0.5,"(6, 6)",center data,11,3,50000,24751,0.49502,0.1650066667,homogeneous
0.0233572146909012,0.75,"(6, 6)",center data,11,3,50000,24587,0.49174,0.1639133333,homogeneous
0.0297635144163132,0.0,"(6, 6)",center data,11,3,50000,25007,0.50014,0.1667133333,homogeneous
0.0297635144163132,0.05,"(6, 6)",center data,11,3,50000,25040,0.5008,0.1669333333,homogeneous
0.0297635144163132,0.25,"(6, 6)",center data,11,3,50000,24843,0.49686,0.16562,homogeneous
0.0297635144163132,0.5,"(6, 6)",center data,11,3,50000,24897,0.49794,0.16598,homogeneous
0.0297635144163132,0.75,"(6, 6)",center data,11,3,50000,24970,0.4994,0.1664666667,homogeneous
0.0379269019073225,0.0,"(6, 6)",center data,11,3,50000,25064,0.50128,0.1670933333,homogeneous
0.0379269019073225,0.05,"(6, 6)",center data,11,3,50000,25009,0.50018,0.1667266667,homogeneous
0.0379269019073225,0.25,"(6, 6)",center data,11,3,50000,24994,0.49988,0.1666266667,homogeneous
0.0379269019073225,0.5,"(6, 6)",center data,11,3,50000,24982,0.49964,0.1665466667,homogeneous
0.0379269019073225,0.75,"(6, 6)",center data,11,3,50000,24970,0.4994,0.1664666667,homogeneous
0.0483293023857175,0.0,"(6, 6)",center data,11,3,50000,25034,0.50068,0.1668933333,homogeneous
0.0483293023857175,0.05,"(6, 6)",center data,11,3,50000,24855,0.4971,0.1657,homogeneous
0.0483293023857175,0.25,"(6, 6)",center data,11,3,50000,24826,0.49652,0.1655066667,homogeneous
0.0483293023857175,0.5,"(6, 6)",center data,11,3,50000,24993,0.49986,0.16662,homogeneous
0.0483293023857175,0.75,"(6, 6)",center data,11,3,50000,24956,0.49912,0.1663733333,homogeneous
0.0615848211066026,0.0,"(6, 6)",center data,11,3,50000,24881,0.49762,0.1658733333,homogeneous
0.0615848211066026,0.05,"(6, 6)",center data,11,3,50000,24831,0.49662,0.16554,homogeneous
0.0615848211066026,0.25,"(6, 6)",center data,11,3,50000,25096,0.50192,0.1673066667,homogeneous
0.0615848211066026,0.5,"(6, 6)",center data,11,3,50000,24900,0.498,0.166,homogeneous
0.0615848211066026,0.75,"(6, 6)",center data,11,3,50000,24967,0.49934,0.1664466667,homogeneous
0.0784759970351461,0.0,"(6, 6)",center data,11,3,50000,25019,0.50038,0.1667933333,homogeneous
0.0784759970351461,0.05,"(6, 6)",center data,11,3,50000,24998,0.49996,0.1666533333,homogeneous
0.0784759970351461,0.25,"(6, 6)",center data,11,3,50000,25185,0.5037,0.1679,homogeneous
0.0784759970351461,0.5,"(6, 6)",center data,11,3,50000,24885,0.4977,0.1659,homogeneous
0.0784759970351461,0.75,"(6, 6)",center data,11,3,50000,24831,0.49662,0.16554,homogeneous
0.1,0.0,"(6, 6)",center data,11,3,50000,24971,0.49942,0.1664733333,homogeneous
0.1,0.05,"(6, 6)",center data,11,3,50000,24855,0.4971,0.1657,homogeneous
0.1,0.25,"(6, 6)",center data,11,3,50000,25061,0.50122,0.1670733333,homogeneous
0.1,0.5,"(6, 6)",center data,11,3,50000,24917,0.49834,0.1661133333,homogeneous
0.1,0.75,"(6, 6)",center data,11,3,50000,25032,0.50064,0.16688,homogeneous
0.001,0.0,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00162377673918872,0.05,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.0,"(7, 7)",center data,13,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.001,0.5,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.05,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.001,0.05,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.75,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00162377673918872,0.0,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.001,0.75,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.5,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.001,0.25,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.25,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00162377673918872,0.25,"(7, 7)",center data,13,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.00162377673918872,0.5,"(7, 7)",center data,13,3,50000,0,0.0,0.0,homogeneous
0.00162377673918872,0.75,"(7, 7)",center data,13,3,50000,5,0.0001,3.333333333e-05,homogeneous
0.00206913808111479,0.0,"(7, 7)",center data,13,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.00206913808111479,0.05,"(7, 7)",center data,13,3,50000,2,4e-05,1.333333333e-05,homogeneous
0.00206913808111479,0.5,"(7, 7)",center data,13,3,50000,5,0.0001,3.333333333e-05,homogeneous
0.00206913808111479,0.25,"(7, 7)",center data,13,3,50000,4,8e-05,2.666666667e-05,homogeneous
0.00206913808111479,0.75,"(7, 7)",center data,13,3,50000,4,8e-05,2.666666667e-05,homogeneous
0.00263665089873036,0.0,"(7, 7)",center data,13,3,50000,7,0.00014,4.666666667e-05,homogeneous
0.00263665089873036,0.05,"(7, 7)",center data,13,3,50000,10,0.0002,6.666666667e-05,homogeneous
0.00263665089873036,0.25,"(7, 7)",center data,13,3,50000,17,0.00034,0.0001133333333,homogeneous
0.00263665089873036,0.5,"(7, 7)",center data,13,3,50000,18,0.00036,0.00012,homogeneous
0.00263665089873036,0.75,"(7, 7)",center data,13,3,50000,18,0.00036,0.00012,homogeneous
0.00335981828628378,0.0,"(7, 7)",center data,13,3,50000,31,0.00062,0.0002066666667,homogeneous
0.00335981828628378,0.05,"(7, 7)",center data,13,3,50000,55,0.0011,0.0003666666667,homogeneous
0.00335981828628378,0.25,"(7, 7)",center data,13,3,50000,81,0.00162,0.00054,homogeneous
0.00335981828628378,0.5,"(7, 7)",center data,13,3,50000,69,0.00138,0.00046,homogeneous
0.00335981828628378,0.75,"(7, 7)",center data,13,3,50000,62,0.00124,0.0004133333333,homogeneous
0.0042813323987194,0.0,"(7, 7)",center data,13,3,50000,163,0.00326,0.001086666667,homogeneous
0.0042813323987194,0.05,"(7, 7)",center data,13,3,50000,217,0.00434,0.001446666667,homogeneous
0.0042813323987194,0.25,"(7, 7)",center data,13,3,50000,244,0.00488,0.001626666667,homogeneous
0.0042813323987194,0.5,"(7, 7)",center data,13,3,50000,264,0.00528,0.00176,homogeneous
0.0042813323987194,0.75,"(7, 7)",center data,13,3,50000,254,0.00508,0.001693333333,homogeneous
