p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.00127427498570313,0.75,"(2, 2)",center data,3,3,50000,2092,0.04184,0.01394666667,homogeneous
0.001,0.05,"(2, 2)",center data,3,3,50000,1446,0.02892,0.00964,homogeneous
0.00127427498570313,0.0,"(2, 2)",center data,3,3,50000,1818,0.03636,0.01212,homogeneous
0.00127427498570313,0.25,"(2, 2)",center data,3,3,50000,2155,0.0431,0.01436666667,homogeneous
0.00127427498570313,0.5,"(2, 2)",center data,3,3,50000,2184,0.04368,0.01456,homogeneous
0.001,0.25,"(2, 2)",center data,3,3,50000,1580,0.0316,0.01053333333,homogeneous
0.00162377673918872,0.05,"(2, 2)",center data,3,3,50000,2431,0.04862,0.01620666667,homogeneous
0.00127427498570313,0.05,"(2, 2)",center data,3,3,50000,1919,0.03838,0.01279333333,homogeneous
0.001,0.5,"(2, 2)",center data,3,3,50000,1629,0.03258,0.01086,homogeneous
0.001,0.75,"(2, 2)",center data,3,3,50000,1605,0.0321,0.0107,homogeneous
0.00162377673918872,0.0,"(2, 2)",center data,3,3,50000,2350,0.047,0.01566666667,homogeneous
0.001,0.0,"(2, 2)",center data,3,3,50000,1377,0.02754,0.00918,homogeneous
0.00162377673918872,0.25,"(2, 2)",center data,3,3,50000,2650,0.053,0.01766666667,homogeneous
0.00162377673918872,0.5,"(2, 2)",center data,3,3,50000,2770,0.0554,0.01846666667,homogeneous
0.00162377673918872,0.75,"(2, 2)",center data,3,3,50000,2780,0.0556,0.01853333333,homogeneous
0.00206913808111479,0.0,"(2, 2)",center data,3,3,50000,2984,0.05968,0.01989333333,homogeneous
0.00206913808111479,0.05,"(2, 2)",center data,3,3,50000,3091,0.06182,0.02060666667,homogeneous
0.00206913808111479,0.5,"(2, 2)",center data,3,3,50000,3422,0.06844,0.02281333333,homogeneous
0.00206913808111479,0.25,"(2, 2)",center data,3,3,50000,3475,0.0695,0.02316666667,homogeneous
0.00206913808111479,0.75,"(2, 2)",center data,3,3,50000,3496,0.06992,0.02330666667,homogeneous
0.00263665089873036,0.0,"(2, 2)",center data,3,3,50000,3795,0.0759,0.0253,homogeneous
0.00263665089873036,0.05,"(2, 2)",center data,3,3,50000,4006,0.08012,0.02670666667,homogeneous
0.00263665089873036,0.25,"(2, 2)",center data,3,3,50000,4361,0.08722,0.02907333333,homogeneous
0.00263665089873036,0.5,"(2, 2)",center data,3,3,50000,4493,0.08986,0.02995333333,homogeneous
0.00263665089873036,0.75,"(2, 2)",center data,3,3,50000,4357,0.08714,0.02904666667,homogeneous
0.00335981828628378,0.0,"(2, 2)",center data,3,3,50000,4773,0.09546,0.03182,homogeneous
0.00335981828628378,0.25,"(2, 2)",center data,3,3,50000,5728,0.11456,0.03818666667,homogeneous
0.00335981828628378,0.05,"(2, 2)",center data,3,3,50000,5054,0.10108,0.03369333333,homogeneous
0.00335981828628378,0.5,"(2, 2)",center data,3,3,50000,5348,0.10696,0.03565333333,homogeneous
0.00335981828628378,0.75,"(2, 2)",center data,3,3,50000,5547,0.11094,0.03698,homogeneous
0.0042813323987194,0.0,"(2, 2)",center data,3,3,50000,6152,0.12304,0.04101333333,homogeneous
0.0042813323987194,0.25,"(2, 2)",center data,3,3,50000,6933,0.13866,0.04622,homogeneous
0.0042813323987194,0.05,"(2, 2)",center data,3,3,50000,6312,0.12624,0.04208,homogeneous
0.0042813323987194,0.5,"(2, 2)",center data,3,3,50000,6859,0.13718,0.04572666667,homogeneous
0.00545559478116852,0.0,"(2, 2)",center data,3,3,50000,7769,0.15538,0.05179333333,homogeneous
0.0042813323987194,0.75,"(2, 2)",center data,3,3,50000,6884,0.13768,0.04589333333,homogeneous
0.00545559478116852,0.05,"(2, 2)",center data,3,3,50000,8119,0.16238,0.05412666667,homogeneous
0.00545559478116852,0.25,"(2, 2)",center data,3,3,50000,8582,0.17164,0.05721333333,homogeneous
0.00545559478116852,0.5,"(2, 2)",center data,3,3,50000,8856,0.17712,0.05904,homogeneous
0.00545559478116852,0.75,"(2, 2)",center data,3,3,50000,8730,0.1746,0.0582,homogeneous
0.0069519279617756,0.0,"(2, 2)",center data,3,3,50000,9742,0.19484,0.06494666667,homogeneous
0.0069519279617756,0.05,"(2, 2)",center data,3,3,50000,9977,0.19954,0.06651333333,homogeneous
0.0069519279617756,0.25,"(2, 2)",center data,3,3,50000,10743,0.21486,0.07162,homogeneous
0.0069519279617756,0.5,"(2, 2)",center data,3,3,50000,10724,0.21448,0.07149333333,homogeneous
0.0069519279617756,0.75,"(2, 2)",center data,3,3,50000,10811,0.21622,0.07207333333,homogeneous
0.00885866790410082,0.0,"(2, 2)",center data,3,3,50000,12108,0.24216,0.08072,homogeneous
0.00885866790410082,0.05,"(2, 2)",center data,3,3,50000,12514,0.25028,0.08342666667,homogeneous
0.00885866790410082,0.25,"(2, 2)",center data,3,3,50000,13189,0.26378,0.08792666667,homogeneous
0.00885866790410082,0.5,"(2, 2)",center data,3,3,50000,12891,0.25782,0.08594,homogeneous
0.00885866790410082,0.75,"(2, 2)",center data,3,3,50000,13117,0.26234,0.08744666667,homogeneous
0.0112883789168469,0.0,"(2, 2)",center data,3,3,50000,14479,0.28958,0.09652666667,homogeneous
0.0112883789168469,0.05,"(2, 2)",center data,3,3,50000,14967,0.29934,0.09978,homogeneous
0.0112883789168469,0.25,"(2, 2)",center data,3,3,50000,15613,0.31226,0.1040866667,homogeneous
0.0112883789168469,0.5,"(2, 2)",center data,3,3,50000,15775,0.3155,0.1051666667,homogeneous
0.0112883789168469,0.75,"(2, 2)",center data,3,3,50000,15447,0.30894,0.10298,homogeneous
0.0143844988828766,0.0,"(2, 2)",center data,3,3,50000,17206,0.34412,0.1147066667,homogeneous
0.0143844988828766,0.05,"(2, 2)",center data,3,3,50000,17650,0.353,0.1176666667,homogeneous
0.0143844988828766,0.25,"(2, 2)",center data,3,3,50000,18169,0.36338,0.1211266667,homogeneous
0.0143844988828766,0.5,"(2, 2)",center data,3,3,50000,18339,0.36678,0.12226,homogeneous
0.0143844988828766,0.75,"(2, 2)",center data,3,3,50000,17953,0.35906,0.1196866667,homogeneous
0.0183298071083244,0.0,"(2, 2)",center data,3,3,50000,19894,0.39788,0.1326266667,homogeneous
0.0183298071083244,0.05,"(2, 2)",center data,3,3,50000,19942,0.39884,0.1329466667,homogeneous
0.0183298071083244,0.25,"(2, 2)",center data,3,3,50000,20528,0.41056,0.1368533333,homogeneous
0.0183298071083244,0.5,"(2, 2)",center data,3,3,50000,20867,0.41734,0.1391133333,homogeneous
0.0183298071083244,0.75,"(2, 2)",center data,3,3,50000,20204,0.40408,0.1346933333,homogeneous
0.0233572146909012,0.0,"(2, 2)",center data,3,3,50000,21939,0.43878,0.14626,homogeneous
0.0233572146909012,0.05,"(2, 2)",center data,3,3,50000,22284,0.44568,0.14856,homogeneous
0.0233572146909012,0.25,"(2, 2)",center data,3,3,50000,22370,0.4474,0.1491333333,homogeneous
0.0233572146909012,0.5,"(2, 2)",center data,3,3,50000,22649,0.45298,0.1509933333,homogeneous
0.0233572146909012,0.75,"(2, 2)",center data,3,3,50000,22569,0.45138,0.15046,homogeneous
0.0297635144163132,0.0,"(2, 2)",center data,3,3,50000,23432,0.46864,0.1562133333,homogeneous
0.0297635144163132,0.25,"(2, 2)",center data,3,3,50000,23711,0.47422,0.1580733333,homogeneous
0.0297635144163132,0.05,"(2, 2)",center data,3,3,50000,23745,0.4749,0.1583,homogeneous
0.0297635144163132,0.5,"(2, 2)",center data,3,3,50000,23814,0.47628,0.15876,homogeneous
0.0297635144163132,0.75,"(2, 2)",center data,3,3,50000,23902,0.47804,0.1593466667,homogeneous
0.0379269019073225,0.0,"(2, 2)",center data,3,3,50000,24355,0.4871,0.1623666667,homogeneous
0.0379269019073225,0.05,"(2, 2)",center data,3,3,50000,24547,0.49094,0.1636466667,homogeneous
0.0379269019073225,0.25,"(2, 2)",center data,3,3,50000,24436,0.48872,0.1629066667,homogeneous
0.0379269019073225,0.5,"(2, 2)",center data,3,3,50000,24674,0.49348,0.1644933333,homogeneous
0.0379269019073225,0.75,"(2, 2)",center data,3,3,50000,24786,0.49572,0.16524,homogeneous
0.0483293023857175,0.0,"(2, 2)",center data,3,3,50000,24702,0.49404,0.16468,homogeneous
0.0483293023857175,0.05,"(2, 2)",center data,3,3,50000,24789,0.49578,0.16526,homogeneous
0.0483293023857175,0.25,"(2, 2)",center data,3,3,50000,24838,0.49676,0.1655866667,homogeneous
0.0483293023857175,0.5,"(2, 2)",center data,3,3,50000,24880,0.4976,0.1658666667,homogeneous
0.0483293023857175,0.75,"(2, 2)",center data,3,3,50000,24990,0.4998,0.1666,homogeneous
0.0615848211066026,0.0,"(2, 2)",center data,3,3,50000,24852,0.49704,0.16568,homogeneous
0.0615848211066026,0.05,"(2, 2)",center data,3,3,50000,25138,0.50276,0.1675866667,homogeneous
0.0615848211066026,0.25,"(2, 2)",center data,3,3,50000,25189,0.50378,0.1679266667,homogeneous
0.0615848211066026,0.5,"(2, 2)",center data,3,3,50000,24871,0.49742,0.1658066667,homogeneous
0.0615848211066026,0.75,"(2, 2)",center data,3,3,50000,25028,0.50056,0.1668533333,homogeneous
0.0784759970351461,0.0,"(2, 2)",center data,3,3,50000,25250,0.505,0.1683333333,homogeneous
0.0784759970351461,0.05,"(2, 2)",center data,3,3,50000,24993,0.49986,0.16662,homogeneous
0.0784759970351461,0.25,"(2, 2)",center data,3,3,50000,25090,0.5018,0.1672666667,homogeneous
0.0784759970351461,0.5,"(2, 2)",center data,3,3,50000,25208,0.50416,0.1680533333,homogeneous
0.0784759970351461,0.75,"(2, 2)",center data,3,3,50000,24977,0.49954,0.1665133333,homogeneous
0.1,0.0,"(2, 2)",center data,3,3,50000,25152,0.50304,0.16768,homogeneous
0.1,0.05,"(2, 2)",center data,3,3,50000,24998,0.49996,0.1666533333,homogeneous
0.1,0.25,"(2, 2)",center data,3,3,50000,24958,0.49916,0.1663866667,homogeneous
0.1,0.5,"(2, 2)",center data,3,3,50000,24948,0.49896,0.16632,homogeneous
0.1,0.75,"(2, 2)",center data,3,3,50000,24848,0.49696,0.1656533333,homogeneous
0.001,0.05,"(3, 3)",center data,5,3,50000,116,0.00232,0.0007733333333,homogeneous
0.00127427498570313,0.25,"(3, 3)",center data,5,3,50000,375,0.0075,0.0025,homogeneous
0.00162377673918872,0.05,"(3, 3)",center data,5,3,50000,347,0.00694,0.002313333333,homogeneous
0.001,0.5,"(3, 3)",center data,5,3,50000,217,0.00434,0.001446666667,homogeneous
0.001,0.0,"(3, 3)",center data,5,3,50000,45,0.0009,0.0003,homogeneous
0.00127427498570313,0.75,"(3, 3)",center data,5,3,50000,483,0.00966,0.00322,homogeneous
0.001,0.25,"(3, 3)",center data,5,3,50000,209,0.00418,0.001393333333,homogeneous
0.00127427498570313,0.05,"(3, 3)",center data,5,3,50000,239,0.00478,0.001593333333,homogeneous
0.00127427498570313,0.0,"(3, 3)",center data,5,3,50000,129,0.00258,0.00086,homogeneous
0.00162377673918872,0.0,"(3, 3)",center data,5,3,50000,198,0.00396,0.00132,homogeneous
0.001,0.75,"(3, 3)",center data,5,3,50000,227,0.00454,0.001513333333,homogeneous
0.00127427498570313,0.5,"(3, 3)",center data,5,3,50000,455,0.0091,0.003033333333,homogeneous
0.00162377673918872,0.25,"(3, 3)",center data,5,3,50000,602,0.01204,0.004013333333,homogeneous
0.00162377673918872,0.5,"(3, 3)",center data,5,3,50000,650,0.013,0.004333333333,homogeneous
0.00162377673918872,0.75,"(3, 3)",center data,5,3,50000,695,0.0139,0.004633333333,homogeneous
0.00206913808111479,0.05,"(3, 3)",center data,5,3,50000,574,0.01148,0.003826666667,homogeneous
0.00206913808111479,0.0,"(3, 3)",center data,5,3,50000,365,0.0073,0.002433333333,homogeneous
0.00206913808111479,0.25,"(3, 3)",center data,5,3,50000,851,0.01702,0.005673333333,homogeneous
0.00206913808111479,0.5,"(3, 3)",center data,5,3,50000,1024,0.02048,0.006826666667,homogeneous
0.00206913808111479,0.75,"(3, 3)",center data,5,3,50000,1021,0.02042,0.006806666667,homogeneous
0.00263665089873036,0.0,"(3, 3)",center data,5,3,50000,659,0.01318,0.004393333333,homogeneous
0.00263665089873036,0.05,"(3, 3)",center data,5,3,50000,919,0.01838,0.006126666667,homogeneous
0.00263665089873036,0.25,"(3, 3)",center data,5,3,50000,1350,0.027,0.009,homogeneous
0.00263665089873036,0.5,"(3, 3)",center data,5,3,50000,1571,0.03142,0.01047333333,homogeneous
0.00335981828628378,0.0,"(3, 3)",center data,5,3,50000,1108,0.02216,0.007386666667,homogeneous
0.00263665089873036,0.75,"(3, 3)",center data,5,3,50000,1640,0.0328,0.01093333333,homogeneous
0.00335981828628378,0.05,"(3, 3)",center data,5,3,50000,1502,0.03004,0.01001333333,homogeneous
0.00335981828628378,0.25,"(3, 3)",center data,5,3,50000,2128,0.04256,0.01418666667,homogeneous
