p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0112883789168469,0.05,"(2, 2)",center data,3,3,50000,15095,0.3019,0.1006333333,homogeneous-defect
0.0112883789168469,0.25,"(2, 2)",center data,3,3,50000,15534,0.31068,0.10356,homogeneous-defect
0.0112883789168469,0.5,"(2, 2)",center data,3,3,50000,15974,0.31948,0.1064933333,homogeneous-defect
0.0112883789168469,0.75,"(2, 2)",center data,3,3,50000,15477,0.30954,0.10318,homogeneous-defect
0.0143844988828766,0.0,"(2, 2)",center data,3,3,50000,17244,0.34488,0.11496,homogeneous-defect
0.0143844988828766,0.05,"(2, 2)",center data,3,3,50000,17451,0.34902,0.11634,homogeneous-defect
0.0143844988828766,0.25,"(2, 2)",center data,3,3,50000,18179,0.36358,0.1211933333,homogeneous-defect
0.0143844988828766,0.5,"(2, 2)",center data,3,3,50000,18391,0.36782,0.1226066667,homogeneous-defect
0.0143844988828766,0.75,"(2, 2)",center data,3,3,50000,17931,0.35862,0.11954,homogeneous-defect
0.0183298071083244,0.0,"(2, 2)",center data,3,3,50000,20047,0.40094,0.1336466667,homogeneous-defect
0.0183298071083244,0.05,"(2, 2)",center data,3,3,50000,20111,0.40222,0.1340733333,homogeneous-defect
0.0183298071083244,0.25,"(2, 2)",center data,3,3,50000,20532,0.41064,0.13688,homogeneous-defect
0.0183298071083244,0.5,"(2, 2)",center data,3,3,50000,21085,0.4217,0.1405666667,homogeneous-defect
0.0183298071083244,0.75,"(2, 2)",center data,3,3,50000,20456,0.40912,0.1363733333,homogeneous-defect
0.0233572146909012,0.0,"(2, 2)",center data,3,3,50000,21905,0.4381,0.1460333333,homogeneous-defect
0.0233572146909012,0.05,"(2, 2)",center data,3,3,50000,22071,0.44142,0.14714,homogeneous-defect
0.0233572146909012,0.25,"(2, 2)",center data,3,3,50000,22247,0.44494,0.1483133333,homogeneous-defect
0.0233572146909012,0.5,"(2, 2)",center data,3,3,50000,22458,0.44916,0.14972,homogeneous-defect
0.0233572146909012,0.75,"(2, 2)",center data,3,3,50000,22550,0.451,0.1503333333,homogeneous-defect
0.0297635144163132,0.0,"(2, 2)",center data,3,3,50000,23450,0.469,0.1563333333,homogeneous-defect
0.0297635144163132,0.05,"(2, 2)",center data,3,3,50000,23554,0.47108,0.1570266667,homogeneous-defect
0.0297635144163132,0.25,"(2, 2)",center data,3,3,50000,23841,0.47682,0.15894,homogeneous-defect
0.0297635144163132,0.5,"(2, 2)",center data,3,3,50000,23867,0.47734,0.1591133333,homogeneous-defect
0.0297635144163132,0.75,"(2, 2)",center data,3,3,50000,23974,0.47948,0.1598266667,homogeneous-defect
0.0379269019073225,0.0,"(2, 2)",center data,3,3,50000,24335,0.4867,0.1622333333,homogeneous-defect
0.0379269019073225,0.05,"(2, 2)",center data,3,3,50000,24736,0.49472,0.1649066667,homogeneous-defect
0.0379269019073225,0.25,"(2, 2)",center data,3,3,50000,24693,0.49386,0.16462,homogeneous-defect
0.0379269019073225,0.5,"(2, 2)",center data,3,3,50000,24596,0.49192,0.1639733333,homogeneous-defect
0.0379269019073225,0.75,"(2, 2)",center data,3,3,50000,24700,0.494,0.1646666667,homogeneous-defect
0.0483293023857175,0.0,"(2, 2)",center data,3,3,50000,24974,0.49948,0.1664933333,homogeneous-defect
0.0483293023857175,0.05,"(2, 2)",center data,3,3,50000,24943,0.49886,0.1662866667,homogeneous-defect
0.0483293023857175,0.25,"(2, 2)",center data,3,3,50000,24924,0.49848,0.16616,homogeneous-defect
0.0483293023857175,0.5,"(2, 2)",center data,3,3,50000,24983,0.49966,0.1665533333,homogeneous-defect
0.0483293023857175,0.75,"(2, 2)",center data,3,3,50000,24803,0.49606,0.1653533333,homogeneous-defect
0.0615848211066026,0.05,"(2, 2)",center data,3,3,50000,25070,0.5014,0.1671333333,homogeneous-defect
0.0615848211066026,0.0,"(2, 2)",center data,3,3,50000,24836,0.49672,0.1655733333,homogeneous-defect
0.0615848211066026,0.25,"(2, 2)",center data,3,3,50000,24898,0.49796,0.1659866667,homogeneous-defect
0.0615848211066026,0.5,"(2, 2)",center data,3,3,50000,24841,0.49682,0.1656066667,homogeneous-defect
0.0615848211066026,0.75,"(2, 2)",center data,3,3,50000,25118,0.50236,0.1674533333,homogeneous-defect
0.0784759970351461,0.0,"(2, 2)",center data,3,3,50000,25030,0.5006,0.1668666667,homogeneous-defect
0.0784759970351461,0.05,"(2, 2)",center data,3,3,50000,24960,0.4992,0.1664,homogeneous-defect
0.0784759970351461,0.25,"(2, 2)",center data,3,3,50000,25011,0.50022,0.16674,homogeneous-defect
0.0784759970351461,0.5,"(2, 2)",center data,3,3,50000,25146,0.50292,0.16764,homogeneous-defect
0.0784759970351461,0.75,"(2, 2)",center data,3,3,50000,24986,0.49972,0.1665733333,homogeneous-defect
0.1,0.0,"(2, 2)",center data,3,3,50000,25103,0.50206,0.1673533333,homogeneous-defect
0.1,0.25,"(2, 2)",center data,3,3,50000,24977,0.49954,0.1665133333,homogeneous-defect
0.1,0.05,"(2, 2)",center data,3,3,50000,24922,0.49844,0.1661466667,homogeneous-defect
0.1,0.5,"(2, 2)",center data,3,3,50000,24987,0.49974,0.16658,homogeneous-defect
0.1,0.75,"(2, 2)",center data,3,3,50000,25101,0.50202,0.16734,homogeneous-defect
0.001,0.5,"(3, 3)",center data,5,3,50000,236,0.00472,0.001573333333,homogeneous-defect
0.001,0.05,"(3, 3)",center data,5,3,50000,137,0.00274,0.0009133333333,homogeneous-defect
0.00162377673918872,0.0,"(3, 3)",center data,5,3,50000,216,0.00432,0.00144,homogeneous-defect
0.001,0.0,"(3, 3)",center data,5,3,50000,55,0.0011,0.0003666666667,homogeneous-defect
0.00127427498570313,0.25,"(3, 3)",center data,5,3,50000,337,0.00674,0.002246666667,homogeneous-defect
0.001,0.25,"(3, 3)",center data,5,3,50000,213,0.00426,0.00142,homogeneous-defect
0.00127427498570313,0.5,"(3, 3)",center data,5,3,50000,416,0.00832,0.002773333333,homogeneous-defect
0.00127427498570313,0.05,"(3, 3)",center data,5,3,50000,232,0.00464,0.001546666667,homogeneous-defect
0.00127427498570313,0.75,"(3, 3)",center data,5,3,50000,469,0.00938,0.003126666667,homogeneous-defect
0.00162377673918872,0.05,"(3, 3)",center data,5,3,50000,384,0.00768,0.00256,homogeneous-defect
0.00127427498570313,0.0,"(3, 3)",center data,5,3,50000,124,0.00248,0.0008266666667,homogeneous-defect
0.001,0.75,"(3, 3)",center data,5,3,50000,254,0.00508,0.001693333333,homogeneous-defect
0.00162377673918872,0.25,"(3, 3)",center data,5,3,50000,569,0.01138,0.003793333333,homogeneous-defect
0.00162377673918872,0.5,"(3, 3)",center data,5,3,50000,646,0.01292,0.004306666667,homogeneous-defect
0.00162377673918872,0.75,"(3, 3)",center data,5,3,50000,704,0.01408,0.004693333333,homogeneous-defect
0.00206913808111479,0.0,"(3, 3)",center data,5,3,50000,346,0.00692,0.002306666667,homogeneous-defect
0.00206913808111479,0.05,"(3, 3)",center data,5,3,50000,569,0.01138,0.003793333333,homogeneous-defect
0.00206913808111479,0.25,"(3, 3)",center data,5,3,50000,859,0.01718,0.005726666667,homogeneous-defect
0.00206913808111479,0.5,"(3, 3)",center data,5,3,50000,977,0.01954,0.006513333333,homogeneous-defect
0.00206913808111479,0.75,"(3, 3)",center data,5,3,50000,1090,0.0218,0.007266666667,homogeneous-defect
0.00263665089873036,0.0,"(3, 3)",center data,5,3,50000,632,0.01264,0.004213333333,homogeneous-defect
0.00263665089873036,0.05,"(3, 3)",center data,5,3,50000,931,0.01862,0.006206666667,homogeneous-defect
0.00263665089873036,0.25,"(3, 3)",center data,5,3,50000,1357,0.02714,0.009046666667,homogeneous-defect
0.00263665089873036,0.5,"(3, 3)",center data,5,3,50000,1527,0.03054,0.01018,homogeneous-defect
0.00263665089873036,0.75,"(3, 3)",center data,5,3,50000,1599,0.03198,0.01066,homogeneous-defect
0.00335981828628378,0.0,"(3, 3)",center data,5,3,50000,1071,0.02142,0.00714,homogeneous-defect
0.00335981828628378,0.05,"(3, 3)",center data,5,3,50000,1497,0.02994,0.00998,homogeneous-defect
0.00335981828628378,0.25,"(3, 3)",center data,5,3,50000,2126,0.04252,0.01417333333,homogeneous-defect
0.00335981828628378,0.5,"(3, 3)",center data,5,3,50000,2406,0.04812,0.01604,homogeneous-defect
0.00335981828628378,0.75,"(3, 3)",center data,5,3,50000,2506,0.05012,0.01670666667,homogeneous-defect
0.0042813323987194,0.0,"(3, 3)",center data,5,3,50000,1782,0.03564,0.01188,homogeneous-defect
0.0042813323987194,0.05,"(3, 3)",center data,5,3,50000,2484,0.04968,0.01656,homogeneous-defect
0.0042813323987194,0.25,"(3, 3)",center data,5,3,50000,3265,0.0653,0.02176666667,homogeneous-defect
0.0042813323987194,0.5,"(3, 3)",center data,5,3,50000,3670,0.0734,0.02446666667,homogeneous-defect
0.0042813323987194,0.75,"(3, 3)",center data,5,3,50000,3780,0.0756,0.0252,homogeneous-defect
0.00545559478116852,0.0,"(3, 3)",center data,5,3,50000,3080,0.0616,0.02053333333,homogeneous-defect
0.00545559478116852,0.05,"(3, 3)",center data,5,3,50000,3896,0.07792,0.02597333333,homogeneous-defect
0.00545559478116852,0.25,"(3, 3)",center data,5,3,50000,5001,0.10002,0.03334,homogeneous-defect
0.00545559478116852,0.5,"(3, 3)",center data,5,3,50000,5354,0.10708,0.03569333333,homogeneous-defect
0.00545559478116852,0.75,"(3, 3)",center data,5,3,50000,5564,0.11128,0.03709333333,homogeneous-defect
0.0069519279617756,0.0,"(3, 3)",center data,5,3,50000,5065,0.1013,0.03376666667,homogeneous-defect
0.0069519279617756,0.05,"(3, 3)",center data,5,3,50000,5972,0.11944,0.03981333333,homogeneous-defect
0.0069519279617756,0.25,"(3, 3)",center data,5,3,50000,7294,0.14588,0.04862666667,homogeneous-defect
0.0069519279617756,0.5,"(3, 3)",center data,5,3,50000,7753,0.15506,0.05168666667,homogeneous-defect
0.0069519279617756,0.75,"(3, 3)",center data,5,3,50000,8037,0.16074,0.05358,homogeneous-defect
0.00885866790410082,0.0,"(3, 3)",center data,5,3,50000,7803,0.15606,0.05202,homogeneous-defect
0.00885866790410082,0.05,"(3, 3)",center data,5,3,50000,9064,0.18128,0.06042666667,homogeneous-defect
0.00885866790410082,0.25,"(3, 3)",center data,5,3,50000,10573,0.21146,0.07048666667,homogeneous-defect
0.00885866790410082,0.5,"(3, 3)",center data,5,3,50000,10908,0.21816,0.07272,homogeneous-defect
0.00885866790410082,0.75,"(3, 3)",center data,5,3,50000,11269,0.22538,0.07512666667,homogeneous-defect
0.0112883789168469,0.0,"(3, 3)",center data,5,3,50000,11511,0.23022,0.07674,homogeneous-defect
0.0112883789168469,0.05,"(3, 3)",center data,5,3,50000,12699,0.25398,0.08466,homogeneous-defect
0.0112883789168469,0.25,"(3, 3)",center data,5,3,50000,14078,0.28156,0.09385333333,homogeneous-defect
0.0112883789168469,0.5,"(3, 3)",center data,5,3,50000,14497,0.28994,0.09664666667,homogeneous-defect
0.0143844988828766,0.0,"(3, 3)",center data,5,3,50000,15786,0.31572,0.10524,homogeneous-defect
0.0112883789168469,0.75,"(3, 3)",center data,5,3,50000,14731,0.29462,0.09820666667,homogeneous-defect
0.0143844988828766,0.05,"(3, 3)",center data,5,3,50000,16745,0.3349,0.1116333333,homogeneous-defect
0.0143844988828766,0.25,"(3, 3)",center data,5,3,50000,17794,0.35588,0.1186266667,homogeneous-defect
0.0143844988828766,0.5,"(3, 3)",center data,5,3,50000,18035,0.3607,0.1202333333,homogeneous-defect
